date,FL644090075.Q,FL643020073.Q,LM644022075.Q,LM643061773.Q,LM643063073.Q,FL643065075.Q,FL643065173.Q,FL643065473.Q,FL643065573.Q,FL643092473.Q,FL643093075.Q,FL644194075.Q,FL644190075.Q,FL642151073.Q,FL644122075.Q,FL643169173.Q,FL643163075.Q,FL644123075.Q,FL643168073.Q,FL643169373.Q,FL643193075.Q,LM643164105.Q,FL643065045.Q,FL643061743.Q,FL643065163.Q,FL643065443.Q,FL643065543.Q
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q1,16,0,0,0,0,56,0,0,56,0,-40,16,16,0,0,0,0,7,7,0,9,0,0,0,0,0,0
1968:Q2,32,0,0,0,0,156,10,19,127,0,-124,32,32,0,0,0,0,14,14,0,18,0,0,0,0,0,0
1968:Q3,54,0,0,0,0,227,25,28,174,0,-173,54,54,0,0,0,0,23,23,0,31,0,0,0,0,0,0
1968:Q4,84,0,0,0,0,348,34,48,266,0,-264,84,84,0,0,0,0,40,40,0,44,0,0,0,0,0,0
1969:Q1,108,0,0,0,0,437,49,95,293,0,-329,108,108,0,0,0,0,44,44,0,64,0,0,0,0,0,0
1969:Q2,121,0,0,0,0,581,82,138,361,0,-460,121,121,0,4,0,4,50,50,0,67,0,0,0,0,0,0
1969:Q3,136,0,0,0,0,715,126,195,394,0,-579,136,136,0,18,0,18,54,54,0,64,0,0,0,0,0,0
1969:Q4,163,0,0,0,0,1006,209,316,481,0,-843,163,163,0,20,0,20,67,67,0,76,0,0,0,0,0,0
1970:Q1,168,0,0,0,0,1301,358,490,453,0,-1133,168,168,0,63,0,63,55,55,0,50,0,0,0,0,0,0
1970:Q2,192,0,0,0,0,1516,417,571,528,0,-1324,192,192,0,84,0,84,63,63,0,45,0,0,0,0,0,0
1970:Q3,200,0,0,0,0,1740,479,655,606,0,-1540,200,200,0,84,0,84,63,63,0,53,0,0,0,0,0,0
1970:Q4,240,0,0,0,0,2156,593,812,751,0,-1916,240,240,0,126,0,126,72,72,0,42,0,0,0,0,0,0
1971:Q1,284,0,0,0,0,2387,656,900,831,0,-2103,284,284,0,150,0,150,90,90,0,44,0,0,0,0,0,0
1971:Q2,331,0,0,0,0,2749,757,1036,956,0,-2418,331,331,0,206,0,206,99,99,0,26,0,0,0,0,0,0
1971:Q3,380,0,0,0,0,3000,728,1199,1073,0,-2620,380,380,0,500,312,188,113,113,0,-233,0,0,0,0,0,0
1971:Q4,452,0,0,0,0,3362,769,1394,1199,0,-2910,452,452,0,993,780,213,114,114,0,-655,0,0,0,0,0,0
1972:Q1,590,0,0,0,0,3934,868,1788,1278,0,-3344,590,590,0,1564,1322,242,147,147,0,-1121,0,0,0,0,0,0
1972:Q2,722,0,0,0,0,4583,1092,2043,1448,0,-3861,722,722,0,2206,1937,269,155,155,0,-1639,0,0,0,0,0,0
1972:Q3,817,0,0,0,0,4920,1060,2273,1587,0,-4103,817,817,0,2879,2600,279,151,151,0,-2213,0,0,0,0,0,0
1972:Q4,997,0,0,0,0,5724,1186,2700,1838,0,-4727,997,997,0,3532,3240,292,208,208,0,-2743,0,0,0,0,0,0
1973:Q1,1130,0,0,0,0,6183,1280,2883,2020,0,-5053,1130,1130,0,3423,3100,323,281,281,0,-2574,0,0,0,0,0,0
1973:Q2,1275,0,0,0,0,7072,1286,3503,2283,0,-5797,1288,1275,0,3482,3121,361,350,350,0,-2557,13,0,0,0,0,0
1973:Q3,1421,0,0,0,0,8183,1626,3923,2634,0,-6762,1436,1421,0,4292,3920,372,382,382,0,-3253,15,0,0,0,0,0
1973:Q4,1553,0,0,0,0,8832,1842,4224,2766,0,-7279,1561,1553,0,4382,3975,407,443,443,0,-3272,8,0,0,0,0,0
1974:Q1,1650,0,0,0,0,9289,1982,4447,2860,0,-7639,1658,1650,0,3815,3380,435,519,519,0,-2684,8,0,0,0,0,0
1974:Q2,1737,0,0,0,0,9255,1973,4433,2849,0,-7518,1742,1737,0,2000,1564,436,603,603,0,-866,5,0,0,0,0,0
1974:Q3,1742,0,0,0,0,8932,1722,4299,2911,0,-7190,1746,1742,0,1324,895,429,658,658,0,-240,4,0,0,0,0,0
1974:Q4,1740,0,0,0,0,8843,1674,4330,2839,0,-7103,1741,1740,0,1151,710,441,671,671,0,-82,1,0,0,0,0,0
1975:Q1,1676,0,0,0,0,7553,1433,3603,2517,0,-5877,1679,1676,0,1132,743,389,635,635,0,-91,3,0,0,0,0,0
1975:Q2,1436,0,0,0,0,6282,1195,2916,2171,0,-4846,1438,1436,0,1176,840,336,533,533,0,-273,2,0,0,0,0,0
1975:Q3,1139,0,0,0,0,4819,919,2174,1726,0,-3680,1140,1139,0,1068,784,284,436,436,0,-365,1,0,0,0,0,0
1975:Q4,974,0,0,0,0,3793,725,1661,1407,0,-2819,975,974,0,1060,829,231,371,371,0,-457,1,0,0,0,0,0
1976:Q1,925,0,0,0,0,3460,687,1478,1295,0,-2535,926,925,0,851,646,205,334,334,0,-260,1,0,0,0,0,0
1976:Q2,866,0,0,0,0,3125,643,1301,1181,0,-2259,867,866,0,817,607,210,301,301,0,-252,1,0,0,0,0,0
1976:Q3,820,0,0,0,0,2791,595,1132,1064,0,-1971,821,820,0,867,663,204,279,279,0,-326,1,0,0,0,0,0
1976:Q4,777,0,0,0,0,2456,542,970,944,0,-1679,778,777,0,751,559,192,238,238,0,-212,1,0,0,0,0,0
1977:Q1,727,0,0,0,0,2294,514,900,880,0,-1567,728,727,0,700,514,186,201,201,0,-174,1,0,0,0,0,0
1977:Q2,630,0,0,0,0,2132,484,831,817,0,-1502,631,630,0,763,585,178,160,160,0,-293,1,0,0,0,0,0
1977:Q3,579,0,0,0,0,1971,454,764,753,0,-1392,580,579,0,703,523,180,140,140,0,-264,1,0,0,0,0,0
1977:Q4,560,0,0,0,0,1807,422,696,689,0,-1247,561,560,0,692,518,174,131,131,0,-263,1,0,0,0,0,0
1978:Q1,540,0,0,0,0,1758,410,671,677,0,-1218,541,540,0,693,541,152,120,120,0,-273,1,0,0,0,0,0
1978:Q2,532,0,0,0,0,1710,398,647,665,0,-1178,534,532,0,797,650,147,95,95,0,-360,2,0,0,0,0,0
1978:Q3,509,0,0,0,0,1644,381,616,647,0,-1135,512,509,0,815,666,149,86,86,0,-392,3,0,0,0,0,0
1978:Q4,514,0,0,0,0,1613,373,599,641,0,-1099,516,514,0,759,626,133,81,81,0,-326,2,0,0,0,0,0
1979:Q1,509,0,0,0,0,1590,356,598,636,0,-1081,511,509,0,786,658,128,77,77,0,-354,2,0,0,0,0,0
1979:Q2,502,0,0,0,0,1567,338,598,631,0,-1065,504,502,0,882,749,133,71,71,0,-451,2,0,0,0,0,0
1979:Q3,495,0,0,0,0,1544,321,597,626,0,-1049,497,495,0,767,658,109,65,65,0,-337,2,0,0,0,0,0
1979:Q4,485,0,0,0,0,1521,304,596,621,0,-1036,486,485,0,887,761,126,58,58,0,-460,1,0,0,0,0,0
1980:Q1,476,0,0,0,0,1495,300,583,612,0,-1019,477,476,0,777,648,129,56,56,0,-357,1,0,0,0,0,0
1980:Q2,467,0,0,0,0,1468,295,570,603,0,-1001,468,467,0,717,572,145,53,53,0,-303,1,0,0,0,0,0
1980:Q3,458,0,0,0,0,1440,290,556,594,0,-982,460,458,0,646,516,130,50,50,0,-238,2,0,0,0,0,0
1980:Q4,449,0,0,0,0,1413,285,543,585,0,-964,451,449,0,666,533,133,48,48,0,-265,2,0,0,0,0,0
1981:Q1,447,0,0,0,0,1403,286,535,582,0,-956,449,447,0,693,548,145,46,46,0,-292,2,0,0,0,0,0
1981:Q2,446,0,0,0,0,1392,286,527,579,0,-946,448,446,0,685,548,137,43,43,0,-282,2,0,0,0,0,0
1981:Q3,442,0,0,0,0,1381,287,518,576,0,-939,444,442,0,697,550,147,41,41,0,-296,2,0,0,0,0,0
1981:Q4,438,0,0,0,0,1371,287,510,574,0,-933,440,438,0,697,553,144,39,39,0,-298,2,0,0,0,0,0
1982:Q1,444,0,0,0,0,1391,284,528,579,0,-947,446,444,0,665,522,143,37,37,0,-258,2,0,0,0,0,0
1982:Q2,442,0,0,0,0,1412,281,546,585,0,-970,444,442,0,633,491,142,39,39,0,-230,2,0,0,0,0,0
1982:Q3,446,0,0,0,0,1432,278,564,590,0,-986,448,446,0,601,460,141,40,40,0,-195,2,0,0,0,0,0
1982:Q4,444,0,0,0,0,1452,274,582,596,0,-1008,454,444,0,569,429,140,40,40,0,-165,10,0,0,0,0,0
1983:Q1,442,0,0,0,0,1437,262,589,586,0,-995,457,442,0,552,412,140,40,40,0,-150,15,0,0,0,0,0
1983:Q2,436,0,0,0,0,1420,249,595,576,0,-984,451,436,0,536,395,141,34,34,0,-134,15,0,0,0,0,0
1983:Q3,420,0,0,0,0,1404,236,602,566,0,-984,436,420,0,520,378,142,29,29,0,-129,16,0,0,0,0,0
1983:Q4,416,0,0,0,0,1386,223,607,556,0,-970,429,416,0,503,361,142,25,25,0,-112,13,0,0,0,0,0
1984:Q1,492,0,690,690,0,1501,229,675,597,0,-1699,501,492,0,667,416,251,25,25,0,-200,9,500,500,0,0,0
1984:Q2,578,0,1379,1379,0,1614,235,739,640,0,-2415,586,578,0,833,472,361,27,27,0,-282,8,1000,1000,0,0,0
1984:Q3,666,0,2066,2066,0,1727,240,806,681,0,-3127,678,666,0,1001,529,472,28,28,0,-363,12,1500,1500,0,0,0
1984:Q4,749,0,2572,2572,0,1811,241,860,710,0,-3634,759,749,0,1181,588,593,28,28,0,-460,10,2056,2056,0,0,0
1985:Q1,769,0,2580,2580,0,1861,247,884,730,0,-3672,782,769,0,1263,623,640,29,29,0,-523,13,2080,2080,0,0,0
1985:Q2,784,0,2591,2591,0,1936,258,919,759,0,-3743,799,784,0,1345,657,688,33,33,0,-594,15,2110,2110,0,0,0
1985:Q3,804,0,2603,2603,0,2014,268,956,790,0,-3813,817,804,0,1428,690,738,40,40,0,-664,13,2150,2150,0,0,0
1985:Q4,912,0,2763,2763,0,2865,316,1126,1423,0,-4716,925,912,0,1500,723,777,48,48,0,-636,13,2182,2182,0,0,0
1986:Q1,1014,0,4005,4005,0,2977,328,1170,1479,0,-5968,1035,1014,0,1617,814,803,54,54,0,-657,21,2285,2285,0,0,0
1986:Q2,1197,0,5247,5247,0,3123,340,1229,1554,0,-7173,1215,1197,0,1689,773,916,60,60,0,-552,18,2744,2744,0,0,0
1986:Q3,1380,0,6489,6489,0,3173,345,1249,1579,0,-8282,1404,1380,0,1970,925,1045,67,67,0,-657,24,3375,3375,0,0,0
1986:Q4,1551,0,7731,7731,0,2864,312,1127,1425,0,-9044,1578,1551,0,2829,1051,1778,71,71,0,-1349,27,6677,6677,0,0,0
1987:Q1,1687,0,9346,9346,0,2979,324,1173,1482,0,-10638,1721,1687,0,3119,1265,1854,80,80,0,-1512,34,7087,7087,0,0,0
1987:Q2,1936,0,10961,10961,0,2969,325,1168,1476,0,-11994,2008,1936,0,3601,1242,2359,89,89,0,-1754,72,9419,9419,0,0,0
1987:Q3,2214,0,12576,12576,0,3121,319,1244,1558,0,-13483,2289,2214,0,4053,1249,2804,98,98,0,-1937,75,11289,11289,0,0,0
1987:Q4,2475,0,14191,14191,0,3356,342,1338,1676,0,-15072,2543,2475,0,4614,1406,3208,106,106,0,-2245,68,13002,13002,0,0,0
1988:Q1,2639,0,14824,14824,0,3502,357,1396,1749,0,-15687,2744,2639,0,4741,1431,3310,120,120,0,-2222,105,13345,13345,0,0,0
1988:Q2,2727,0,15457,15457,0,3521,359,1404,1758,0,-16251,2828,2727,0,4846,1423,3423,141,141,0,-2260,101,13760,13760,0,0,0
1988:Q3,2844,0,16090,16090,0,3781,385,1508,1888,0,-17027,2963,2844,0,4830,1397,3433,147,147,0,-2133,119,13738,13738,0,0,0
1988:Q4,3120,0,16723,16723,0,4182,425,1668,2089,0,-17785,3238,3120,0,4874,1290,3584,217,217,0,-1971,118,14576,14576,0,0,0
1989:Q1,3065,0,16941,16941,0,4055,413,1617,2025,0,-17931,3174,3065,0,5021,1283,3738,269,269,0,-2225,109,15315,15315,0,0,0
1989:Q2,3135,0,17158,17158,0,4022,409,1604,2009,0,-18045,3241,3135,0,4967,1174,3793,277,277,0,-2109,106,15397,15397,0,0,0
1989:Q3,3149,0,17376,17376,0,3948,402,1574,1972,0,-18175,3237,3149,0,4974,1138,3836,281,281,0,-2106,88,15570,15570,0,0,0
1989:Q4,3200,0,17593,17593,0,4028,410,1606,2012,0,-18421,3276,3200,0,4906,1122,3784,286,286,0,-1992,76,15300,15300,0,0,0
1990:Q1,3181,0,17318,17318,0,3992,406,1592,1994,0,-18129,3241,3181,0,4562,830,3732,291,291,0,-1672,60,15027,15027,0,0,0
1990:Q2,3169,0,17043,17043,0,3977,404,1586,1987,0,-17851,3214,3169,0,4610,779,3831,296,296,0,-1737,45,15473,15473,0,0,0
1990:Q3,3188,0,16768,16768,0,3965,403,1581,1981,0,-17545,3216,3188,0,4456,804,3652,301,301,0,-1569,28,14594,14594,0,0,0
1990:Q4,3179,0,16493,16493,0,3727,407,1474,1846,0,-17041,3193,3179,0,4716,920,3796,306,306,0,-1843,14,15258,15258,0,0,0
1991:Q1,3239,0,16517,16517,0,3543,352,1384,1807,0,-16821,3263,3239,0,4776,880,3896,311,311,0,-1848,24,15709,15709,0,0,0
1991:Q2,3293,0,16541,16541,0,3546,375,1384,1787,0,-16794,3319,3293,0,4748,916,3832,316,316,0,-1771,26,15378,15378,0,0,0
1991:Q3,3262,0,16565,16565,0,3480,357,1384,1739,0,-16783,3280,3262,0,4654,920,3734,324,324,0,-1716,18,14992,14992,0,0,0
1991:Q4,3464,0,16589,16589,0,3391,355,1384,1652,0,-16516,3479,3464,0,4669,900,3769,350,350,0,-1555,15,14992,14992,0,0,0
1992:Q1,3525,0,16650,16520,130,3304,334,1354,1616,0,-16429,3542,3525,1398,4867,861,4006,382,382,0,-3122,17,15963,15792,171,0,0
1992:Q2,3568,0,16703,16400,303,3690,513,1435,1742,0,-16825,3582,3568,1871,4628,865,3763,393,393,0,-3324,14,14655,14393,262,0,0
1992:Q3,3659,0,16712,16150,562,3791,797,1325,1669,0,-16844,3675,3659,2379,4629,873,3756,416,416,0,-3765,16,14498,14091,407,0,0
1992:Q4,3687,0,16773,15900,873,4256,1105,1392,1759,0,-17342,3712,3687,2883,4714,886,3828,262,262,0,-4172,25,14268,13704,564,0,0
1993:Q1,3561,0,16728,15800,928,4408,1350,1349,1709,0,-17575,3588,3561,3415,4528,679,3849,252,252,0,-4634,27,14268,13579,689,0,0
1993:Q2,3612,0,16683,15700,983,4675,1709,1276,1690,0,-17746,3637,3612,4007,4146,541,3605,251,251,0,-4792,25,12976,12104,872,0,0
1993:Q3,3801,0,15754,14800,954,4947,2011,1259,1677,0,-16900,3829,3801,4571,4070,564,3506,247,247,0,-5087,28,12521,11495,1026,0,0
1993:Q4,4096,0,16606,15600,1006,5062,2194,1212,1656,0,-17572,4123,4096,5019,4096,564,3532,249,249,0,-5268,27,12521,11402,1119,0,0
1994:Q1,4785,0,15211,14000,1211,6130,2815,1379,1936,0,-16556,4813,4785,6600,3901,425,3476,294,294,0,-6010,28,11600,10164,1436,0,0
1994:Q2,5225,0,13815,12400,1415,7341,3734,1448,2159,0,-15931,5254,5225,7900,3608,290,3318,343,343,0,-6626,29,10700,8795,1905,0,0
1994:Q3,5885,0,12419,10800,1619,8434,4682,1444,2308,0,-14968,5915,5885,9400,3500,150,3350,399,399,0,-7414,30,9800,7411,2389,0,0
