date,FL574090045.Q,FL573020043.Q,FL573030043.Q,FL573034043.Q,FL572051043.Q,LM574022045.Q,FL573069143.Q,LM573061143.Q,LM573061743.Q,LM573063043.Q,FL573065043.Q,LM573064143.Q,LM573064243.Q,FL573090045.Q,FL573095405.Q,FL573074043.Q,FL573073005.Q,FL573093043.Q,FL574190043.Q
1945:Q4,19886,81,0,0,0,2978,0,1538,0,1440,0,0,0,16827,0,0,16879,-52,19902
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,21268,101,0,0,0,3175,0,1575,0,1600,22,0,0,17970,0,0,18059,-89,21285
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,22607,131,0,0,0,3373,0,1613,0,1760,42,0,0,19061,0,0,19070,-9,22629
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,23792,161,0,0,0,3570,0,1650,0,1920,62,0,0,19999,0,0,19929,70,23821
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,24912,204,0,0,0,3805,0,1725,0,2080,82,0,0,20821,0,0,20696,125,24944
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,25787,264,0,0,0,4021,0,1759,0,2262,102,0,0,21400,0,0,21236,164,25830
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,30168,329,0,0,0,4620,0,1834,0,2786,120,0,0,25099,0,0,24923,176,30220
1952:Q1,31223,330,195,0,83,4812,0,1865,0,2947,126,1156,0,24521,0,139,24141,241,31276
1952:Q2,32276,321,202,0,86,5007,0,1862,0,3145,133,1250,0,25277,0,145,24880,252,32333
1952:Q3,33336,312,210,0,90,5229,0,1851,0,3378,141,1282,0,26072,0,151,25658,263,33389
1952:Q4,34384,310,218,0,93,5497,0,1859,0,3638,149,1474,0,26643,0,160,26214,269,34445
1953:Q1,35614,319,226,0,94,5775,0,1885,0,3890,159,1533,0,27508,0,167,27068,273,35677
1953:Q2,36841,337,235,0,96,6045,0,1925,0,4120,170,1634,0,28324,0,175,27876,273,36910
1953:Q3,38066,356,244,0,96,6292,0,1965,0,4327,181,1735,0,29162,0,182,28706,274,38142
1953:Q4,39300,366,253,0,97,6509,0,1977,14,4518,192,1914,0,29969,0,191,29504,274,39374
1954:Q1,40277,368,263,0,99,6730,0,1989,13,4728,203,2084,0,30530,0,199,30054,277,40354
1954:Q2,41255,363,273,0,101,6964,0,1983,13,4968,213,2148,0,31193,0,205,30708,280,41334
1954:Q3,42230,358,284,0,103,7230,0,1985,7,5238,224,2257,0,31774,0,213,31277,284,42313
1954:Q4,43198,357,295,0,106,7538,0,2006,6,5526,238,2523,0,32141,0,224,31625,292,43293
1955:Q1,44144,367,306,0,111,7834,0,2051,7,5776,255,2841,0,32430,0,237,31888,305,44238
1955:Q2,45082,385,318,0,118,8119,0,2129,9,5981,274,3615,0,32253,0,259,31675,319,45184
1955:Q3,46012,404,330,0,125,8355,0,2202,10,6143,296,4357,0,32145,0,280,31528,337,46129
1955:Q4,46943,415,343,0,132,8526,0,2229,15,6282,321,4868,0,32338,0,295,31685,358,47074
1956:Q1,48039,419,356,0,140,8723,0,2212,28,6483,349,5454,0,32598,0,311,31906,381,48175
1956:Q2,49136,417,369,0,150,8965,0,2171,28,6766,381,5391,0,33463,0,317,32735,411,49276
1956:Q3,50231,414,384,0,158,9284,0,2113,34,7137,415,5370,0,34206,0,324,33442,440,50377
1956:Q4,51326,415,399,0,166,9680,0,2063,37,7580,449,5652,0,34565,0,339,33765,461,51478
1957:Q1,52986,424,414,0,172,10077,0,2008,51,8018,482,5611,0,35806,0,348,34978,480,53143
1957:Q2,54647,439,430,0,177,10428,0,1953,56,8419,514,6358,0,36301,0,370,35442,489,54807
1957:Q3,56308,454,446,0,182,10735,0,1901,64,8770,547,6110,0,37834,0,373,36957,504,56472
1957:Q4,57967,466,463,0,186,11004,0,1846,88,9070,583,5991,0,39274,0,378,38377,519,58136
1958:Q1,59169,475,481,0,191,11281,0,1808,111,9362,619,6448,0,39674,0,393,38752,529,59319
1958:Q2,60347,482,500,0,194,11569,0,1824,87,9658,655,7185,0,39762,0,414,38814,534,60503
1958:Q3,61507,488,519,0,198,11876,0,1823,91,9962,695,8147,0,39584,0,440,38606,538,61686
1958:Q4,62669,496,539,0,204,12203,0,1838,91,10274,742,9249,0,39236,0,469,38221,546,62869
1959:Q1,64157,505,560,0,211,12409,0,1857,107,10445,796,9710,0,39966,0,484,38918,564,64337
1959:Q2,65598,516,581,0,218,12720,0,1892,134,10694,856,10622,0,40085,0,510,38993,582,65806
