1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q3,5093,513,0,817,0,114,0,100,603,3097,7,666,168,-175,0,0,-175,5287,4978,0,0,3925,3058,867,49,230,17,757,0,0,757,309,121,188,0,0,0
1956:Q4,5331,538,0,965,0,243,0,100,622,3142,7,686,174,-181,0,0,-181,5517,5212,0,0,4158,3276,882,46,230,18,760,0,0,760,305,128,177,0,0,0
1957:Q1,4665,559,0,570,0,113,0,0,457,3015,7,521,182,-189,0,0,-189,4849,4543,0,0,3488,2673,815,47,240,19,749,0,0,749,306,125,181,0,0,0
1957:Q2,4973,568,0,659,0,87,0,100,472,3210,8,536,189,-197,0,0,-197,5154,4848,0,0,3796,2982,814,48,240,16,748,0,0,748,306,122,184,0,0,0
1957:Q3,5050,564,0,819,0,223,0,100,496,3106,8,561,197,-205,0,0,-205,5244,4923,0,0,3868,3035,833,49,240,19,747,0,0,747,321,134,187,0,0,0
1957:Q4,5477,547,0,1354,0,449,0,200,705,2805,8,771,206,-214,0,0,-214,5675,5348,0,0,4287,3393,894,49,250,25,737,0,0,737,327,139,188,0,0,0
1958:Q1,5439,537,0,1220,0,332,0,325,563,3054,9,628,212,-221,0,0,-221,5653,5307,0,0,4249,3298,951,49,250,22,737,0,0,737,346,158,188,0,0,0
1958:Q2,6731,537,0,1940,0,867,0,370,703,3486,9,768,220,-229,0,0,-229,6924,6593,0,0,5533,4488,1045,49,250,24,737,0,0,737,331,143,188,0,0,0
1958:Q3,5303,549,0,775,0,199,0,215,361,3554,9,425,228,-237,0,0,-237,5506,5158,0,0,4092,2976,1116,49,260,30,727,0,0,727,348,160,188,0,0,0
1958:Q4,6071,571,0,1242,0,604,0,215,423,3770,10,488,235,-245,0,0,-245,6320,5917,0,0,4848,3692,1156,48,260,33,728,0,0,728,403,216,187,0,0,0
1959:Q1,5426,590,0,825,0,408,0,275,142,3804,10,207,244,-254,0,0,-254,5693,5262,0,0,4189,2917,1272,48,270,38,717,0,0,717,431,245,186,0,0,0
1959:Q2,5480,602,0,719,0,275,0,250,194,3901,10,258,253,-263,0,0,-263,5758,5306,0,0,4237,3119,1118,49,270,35,715,0,0,715,452,265,187,0,0,0
1959:Q3,5598,605,0,882,0,401,0,180,301,3747,11,364,261,-272,0,0,-272,5916,5412,0,0,4332,3301,1031,49,280,46,705,0,0,705,504,315,189,0,0,0
1959:Q4,6171,600,0,1232,0,428,0,302,502,3773,11,566,270,-281,0,0,-281,6595,5973,0,0,4887,5245,-358,49,280,50,707,0,0,707,622,432,190,0,0,0
1960:Q1,4962,599,0,637,0,158,0,276,203,3460,11,266,280,-291,0,0,-291,5416,4755,0,0,3683,4404,-721,50,290,36,696,0,0,696,661,468,193,0,0,0
1960:Q2,5303,601,0,896,0,204,0,457,235,3507,12,299,289,-301,0,0,-301,5797,5087,0,0,4018,4915,-897,52,290,33,694,0,0,694,710,511,199,0,0,0
1960:Q3,6040,610,0,1405,0,580,0,450,375,3585,12,440,299,-311,0,0,-311,6608,5816,0,0,4740,5280,-540,53,290,39,694,0,0,694,792,586,206,0,0,0
1960:Q4,6700,624,0,1891,0,1021,0,400,470,3649,13,536,309,-322,0,0,-322,7402,6466,0,0,5382,5334,48,51,290,48,695,0,0,695,936,738,198,0,0,0
1961:Q1,5882,642,0,1207,0,543,0,443,221,4022,13,11,320,-333,0,0,-333,6592,5634,0,0,4532,5139,-607,53,300,67,682,0,0,682,958,755,203,0,0,0
1961:Q2,6677,660,0,1383,0,517,0,504,362,4482,13,152,332,-345,0,0,-345,7330,6413,0,0,5319,5236,83,53,300,61,680,0,0,680,917,712,205,0,0,0
1961:Q3,6719,676,0,1525,0,763,0,473,289,4441,14,77,343,-357,0,0,-357,7456,6438,0,0,5333,5935,-602,54,300,71,680,0,0,680,1018,812,206,0,0,0
1961:Q4,7648,688,0,2043,0,1305,0,333,405,4723,14,194,355,-369,0,0,-369,8641,7355,0,0,6256,6996,-740,59,300,63,677,0,0,677,1286,1058,228,0,0,0
1962:Q1,6940,690,0,1852,0,1142,0,479,231,4379,15,19,367,-382,0,0,-382,7964,6642,0,0,5540,6640,-1100,60,310,66,666,0,0,666,1322,1090,232,0,0,0
1962:Q2,6749,683,0,1968,0,1122,0,538,308,4001,15,97,380,-395,0,0,-395,7477,6450,0,0,5375,5825,-450,61,310,38,666,0,0,666,1027,792,235,0,0,0
1962:Q3,7219,668,0,2014,0,1146,0,425,443,4305,16,232,393,-409,0,0,-409,8221,6920,0,0,5851,6189,-338,62,320,33,654,0,0,654,1301,1064,237,0,0,0
1962:Q4,8431,648,0,2964,0,1976,0,523,465,4564,16,255,407,-423,0,0,-423,9557,8130,0,0,7066,7930,-864,54,320,28,662,0,0,662,1427,1220,207,0,0,0
1963:Q1,7249,652,0,1923,0,1048,0,636,239,4645,17,29,421,-438,0,0,-438,8275,6944,0,0,5869,7333,-1464,54,325,40,656,0,0,656,1331,1121,210,0,0,0
1963:Q2,8206,655,0,1972,0,963,0,643,366,5423,18,156,435,-453,0,0,-453,9185,7894,0,0,6818,7726,-908,54,325,40,657,0,0,657,1291,1082,209,0,0,0
1963:Q3,8870,671,0,2202,0,1394,0,494,314,5893,18,104,451,-469,0,0,-469,9768,8548,0,0,7460,8454,-994,54,330,52,652,0,0,652,1220,1013,207,0,0,0
1963:Q4,9167,672,0,1921,0,718,0,514,689,6095,19,479,466,-485,0,0,-485,10022,8832,0,0,7739,8885,-1146,57,330,57,649,0,0,649,1190,971,219,0,0,0
1964:Q1,8280,694,0,1479,0,569,0,520,390,5926,20,181,482,-502,0,0,-502,9075,7932,0,0,6840,6993,-153,57,340,56,639,0,0,639,1143,926,217,0,0,0
1964:Q2,9303,689,0,2257,0,1021,0,596,640,5927,20,430,499,-519,0,0,-519,9991,8942,0,0,7855,9232,-1377,57,340,50,640,0,0,640,1049,830,219,0,0,0
1964:Q3,9157,684,0,2564,0,1535,0,673,356,5764,21,145,516,-537,0,0,-537,9968,8783,0,0,7687,8260,-573,57,350,58,631,0,0,631,1185,964,221,0,0,0
1964:Q4,9862,681,0,2674,0,1374,0,693,607,5610,22,897,534,-556,0,0,-556,10522,9473,0,0,8377,9200,-823,61,350,60,625,0,0,625,1049,812,237,0,0,0
1965:Q1,9051,687,0,2104,0,955,0,750,399,5572,22,688,553,-575,0,0,-575,9709,8645,0,0,7542,8298,-756,62,360,67,614,0,0,614,1064,826,238,0,0,0
1965:Q2,10499,698,0,3132,0,1510,0,835,787,5592,23,1077,572,-595,0,0,-595,11009,10072,0,0,8973,9651,-678,60,360,64,615,0,0,615,937,706,231,0,0,0
1965:Q3,8511,709,0,1721,0,595,0,754,372,5420,24,661,592,-616,0,0,-616,8999,8059,0,0,6941,7489,-548,58,370,82,608,0,0,608,940,717,223,0,0,0
1965:Q4,10349,711,0,2449,0,1082,0,453,914,5986,25,1203,612,-637,0,0,-637,10835,9866,0,0,8737,9047,-310,58,370,93,608,0,0,608,969,746,223,0,0,0
1966:Q1,9123,730,0,1605,0,909,0,333,363,6137,26,651,633,-659,0,0,-659,9629,8615,0,0,7479,8123,-644,57,380,101,598,0,0,598,1014,797,217,0,0,0
1966:Q2,10507,746,0,2303,0,818,0,618,867,6303,27,1155,655,-682,0,0,-682,11258,9976,0,0,8855,9160,-305,58,390,84,589,0,0,589,1282,1059,223,0,0,0
1966:Q3,8930,764,0,1595,0,893,0,324,378,5905,27,666,679,-706,0,0,-706,9461,8376,0,0,7247,7300,-53,59,400,92,578,0,0,578,1085,856,229,0,0,0
1966:Q4,11286,784,0,3235,0,1742,0,465,1028,5950,28,1317,702,-730,0,0,-730,11832,10707,0,0,9576,9641,-65,52,410,95,574,0,0,574,1125,927,198,0,0,0
1967:Q1,11449,846,0,3379,0,2140,0,783,456,6479,29,745,709,-738,0,0,-738,12138,10841,0,0,9667,8905,762,52,420,133,569,0,0,569,1297,1096,201,0,0,0
1967:Q2,11516,912,0,2340,0,710,0,638,992,6983,29,1281,718,-747,0,0,-747,12158,10855,0,0,9705,8406,1299,51,430,109,560,0,0,560,1303,1105,198,0,0,0
1967:Q3,12971,950,0,2632,0,985,0,469,1178,7922,29,1467,726,-755,0,0,-755,13641,12241,0,0,11057,9481,1576,51,440,145,548,0,0,548,1400,1206,194,0,0,0
1967:Q4,14731,990,0,2888,0,983,0,506,1399,9164,30,1689,734,-764,0,0,-764,15432,13932,0,0,12745,10586,2159,52,450,151,534,0,0,534,1500,1299,201,0,0,0
1968:Q1,13602,1124,0,2509,0,968,0,454,1087,8593,30,1376,743,-773,0,0,-773,14091,12750,0,0,11519,9950,1569,52,460,201,518,0,0,518,1341,1143,198,0,0,0
1968:Q2,15112,1274,0,2305,0,905,0,669,731,10514,30,1019,751,-781,0,0,-781,15922,14187,0,0,12962,9240,3722,52,480,194,499,0,0,499,1735,1535,200,0,0,0
1968:Q3,17661,1398,0,4211,0,2543,0,663,1005,10759,31,1293,759,-790,0,0,-790,18375,16663,0,0,15403,10250,5153,54,500,225,481,0,0,481,1712,1504,208,0,0,0
1968:Q4,18513,1465,0,3534,0,1766,0,548,1220,12005,31,1509,768,-799,0,0,-799,19014,17435,0,0,16199,11321,4878,53,510,199,474,0,0,474,1579,1377,202,0,0,0
1969:Q1,14615,1487,0,1823,0,733,0,345,745,10271,31,1034,778,-809,0,0,-809,14529,13483,0,0,12233,10750,1483,53,520,209,468,0,0,468,1046,843,203,0,0,0
1969:Q2,15847,1470,0,2851,0,1120,0,336,1395,9841,32,1685,786,-818,0,0,-818,15477,14693,0,0,13509,10238,3271,54,540,144,446,0,0,446,784,578,206,0,0,0
1969:Q3,12890,1427,0,2087,0,866,0,350,871,8216,32,1160,795,-827,0,0,-827,12492,11767,0,0,10563,10350,213,54,560,163,427,0,0,427,725,516,209,0,0,0
1969:Q4,15402,1386,0,3670,0,1728,0,361,1581,8476,33,1870,804,-837,0,0,-837,14991,14357,0,0,13173,10522,2651,40,580,147,417,0,0,417,634,478,156,0,0,0
1970:Q1,13071,1322,0,3436,0,2155,0,557,724,7298,33,1015,813,-846,0,0,-846,12871,12089,0,0,10932,9450,1482,40,590,119,408,0,0,408,782,626,156,0,0,0
1970:Q2,11741,1225,0,2351,0,620,0,390,1341,6532,33,1633,823,-856,0,0,-856,11298,10802,0,0,9656,8302,1354,40,600,108,398,0,0,398,496,342,154,0,0,0
1970:Q3,13298,1131,0,3850,0,2007,0,612,1231,6795,34,1522,832,-866,0,0,-866,12947,12384,0,0,11212,9450,1762,40,600,135,397,0,0,397,563,411,152,0,0,0
1970:Q4,16246,1073,0,6003,0,3398,0,915,1690,7188,34,1982,841,-875,0,0,-875,16004,15340,0,0,14153,10589,3564,35,610,150,392,0,0,392,664,530,134,0,0,0
1971:Q1,14861,1040,0,4520,0,1924,0,890,1706,7302,34,1999,851,-885,0,0,-885,14682,13923,0,0,12728,10250,2478,36,620,160,379,0,0,379,759,621,138,0,0,0
1971:Q2,14332,1059,0,3394,0,1477,0,489,1428,8159,35,1720,861,-896,0,0,-896,14027,13329,0,0,12176,9897,2279,37,630,120,366,0,0,366,698,554,144,0,0,0
1971:Q3,14491,1087,0,3579,0,1884,0,946,749,8785,35,1040,871,-906,0,0,-906,17443,13419,0,0,12257,10750,1507,39,650,130,343,0,0,343,4024,3875,149,0,0,0
1971:Q4,17610,1097,0,4642,0,1799,0,1028,1815,9764,36,2107,880,-916,0,0,-916,20307,16476,0,0,15299,11702,3597,46,670,140,321,0,0,321,3831,3653,178,0,0,0
1972:Q1,17559,1101,0,3316,250,1397,0,714,955,11646,36,1246,891,-677,250,0,-927,21211,16263,0,0,14646,12550,2096,47,690,150,730,250,0,480,4948,4766,182,0,0,0
1972:Q2,19128,1106,0,3303,500,1107,0,767,929,13000,36,1219,901,-437,500,0,-937,21732,17696,0,0,15671,13345,2326,48,710,123,1144,500,0,644,4036,3852,184,0,0,0
1972:Q3,19511,1104,0,3569,750,1770,0,644,405,13394,37,694,911,-198,750,0,-948,21581,18062,0,0,15562,14950,612,48,730,151,1571,750,0,821,3519,3332,187,0,0,0
1972:Q4,23935,1081,0,5958,1000,2012,0,912,2034,13485,37,2411,922,41,1000,0,-959,24780,22454,0,0,19502,16793,2709,59,750,165,1978,1000,0,978,2326,2100,226,0,0,0
1973:Q1,19698,1040,0,3920,1250,1365,0,595,710,12401,38,1087,932,280,1250,0,-970,20879,17967,0,0,14819,14510,309,54,760,180,2154,1250,815,89,2912,1264,206,257,1185,0
1973:Q2,19255,975,0,4587,1500,1430,0,687,970,10845,38,1348,943,519,1500,0,-981,20104,17274,0,0,13976,12560,1416,50,770,144,2334,1500,985,-151,2830,866,193,506,1265,0
1973:Q3,18652,907,0,4897,1750,1889,0,718,540,10181,39,917,953,758,1750,0,-992,20560,16421,0,0,12905,12257,648,49,780,156,2531,1750,3507,-2726,4139,1224,187,735,1993,0
1973:Q4,22294,854,0,7526,2000,2008,0,1130,2388,9149,39,2765,964,997,2000,0,-1003,23820,19813,0,0,16075,12502,3573,52,790,153,2743,2000,3697,-2954,4007,802,202,950,2053,0
1974:Q1,18709,818,0,5287,2250,971,0,590,1476,8502,39,1852,976,1235,2250,0,-1015,20372,15978,0,0,12017,10937,1080,49,810,140,2962,2250,4687,-3975,4394,746,189,1146,2313,0
1974:Q2,19969,791,0,6092,2500,827,0,588,2177,8033,40,2553,986,1474,2500,0,-1026,21424,16988,0,0,12850,9715,3135,62,830,82,3164,2500,4931,-4267,4436,534,240,1343,2319,0
1974:Q3,20194,771,0,6822,2750,1723,0,605,1744,7732,40,2119,998,1712,2750,0,-1038,21770,16963,0,0,12594,9550,3044,75,850,68,3376,2750,5941,-5315,4807,428,290,1530,2559,0
1974:Q4,21249,752,0,7750,3000,2256,0,705,1789,7583,41,2164,1009,1950,3000,0,-1050,23084,17768,0,0,13150,9717,3433,108,870,45,3595,3000,6110,-5515,5316,557,413,1706,2640,0
1975:Q1,21200,740,500,7625,3250,2713,0,532,1130,7581,41,1504,1021,2188,3250,0,-1062,23680,17469,800,0,12286,9504,2782,111,890,61,3321,3250,7010,-6939,6211,967,425,1829,2990,0
1975:Q2,22818,730,1000,7695,3500,1813,0,573,1809,7709,42,2184,1032,2426,3500,0,-1074,25449,18837,1600,0,13116,9530,3586,114,910,15,3082,3500,7345,-7763,6612,1099,437,1921,3155,0
1975:Q3,22519,729,1500,6863,3750,1254,0,587,1272,8030,42,1647,1044,2664,3750,0,-1086,25027,18288,2300,0,11934,10415,1519,117,930,52,2955,3750,4908,-5703,6739,915,449,2015,3360,0
1975:Q4,27486,738,2000,8775,4000,1152,0,631,2992,8605,43,3368,1056,2901,4000,0,-1099,30508,23005,3000,0,16034,11312,4722,121,950,80,2820,4000,4517,-5697,7503,835,463,2135,4070,0
1976:Q1,30729,903,2491,9284,3999,2719,0,1131,1435,9959,43,1302,1068,5679,4247,0,1432,34873,26493,3923,0,15229,10432,4797,121,970,297,5953,3937,4773,-2757,8380,1788,465,1837,4290,0
1976:Q2,32478,1011,3206,8972,3492,2571,0,1262,1647,11223,44,1328,1080,5614,4020,0,1594,36709,28174,4653,0,16037,12156,3881,130,990,199,6165,3842,4742,-2419,8535,1643,499,1861,4532,0
1976:Q3,36812,964,3531,12754,4287,5143,0,1368,1956,11645,44,1292,1093,5489,4035,0,1454,41005,32534,8996,0,16272,13107,3165,139,1010,185,5932,3837,4568,-2473,8471,1409,533,1799,4730,0
1976:Q4,44145,1018,5344,16584,7217,5604,0,1672,2091,12510,45,1542,1105,5997,5270,0,727,48599,39679,8719,0,23385,15961,7424,157,1030,208,6180,4660,4490,-2970,8920,1375,603,1943,4999,0
1977:Q1,38750,1082,6511,8715,3610,1624,0,1590,1891,12936,45,1405,1118,6938,5450,0,1488,42799,34359,10452,0,15957,14526,1431,168,1050,153,6579,4519,4574,-2514,8440,1018,647,1803,4972,0
1977:Q2,43360,1130,7487,10183,3810,1990,0,2129,2254,14024,46,1579,1130,7781,6069,0,1712,47713,38851,11972,0,17277,15006,2271,181,1070,129,8222,5529,4878,-2185,8862,1049,694,1927,5192,0
1977:Q3,43092,1077,9860,7849,3336,148,0,2213,2152,13981,46,1581,1143,7555,5931,0,1624,47515,38567,12927,0,16440,16722,-282,193,1090,121,7796,5488,4884,-2576,8948,917,742,1877,5412,0
1977:Q4,45517,1036,10066,11274,6670,350,0,2104,2150,14527,47,1840,1156,5571,5990,0,-419,49921,41152,9924,0,23789,18445,5344,202,1100,119,6018,5499,5530,-5011,8769,871,777,1711,5410,0
1978:Q1,47828,1120,10815,9026,6081,-947,0,1714,2178,16401,46,1673,1131,7616,5616,0,2000,52314,43275,16863,0,17667,15761,1906,204,1120,96,7325,5055,6134,-3864,9039,831,784,1858,5566,0
1978:Q2,51584,1102,11882,8350,5383,-884,0,1972,1879,18950,45,2024,1106,8125,6219,0,1906,56030,46896,16352,0,20538,16940,3598,206,1140,157,8503,5859,3392,-748,9134,1011,794,1937,5392,0
1978:Q3,54589,1299,13175,6745,4166,-902,0,1585,1896,20731,44,2282,1082,9231,6766,0,2465,59291,49674,16480,0,21999,16933,5066,207,1160,235,9593,6249,3434,-90,9617,1231,794,2082,5510,0
1978:Q4,54369,1225,16130,7564,5804,-1605,0,1877,1488,17145,43,1918,1058,9286,6735,0,2551,59008,49505,11434,0,26971,15824,11147,203,1190,187,9520,5719,3647,154,9503,946,782,1973,5802,0
1979:Q1,53450,1374,16338,7847,4960,-444,0,1755,1576,16326,42,2092,1035,8396,5862,0,2534,58495,48468,20415,0,18037,13763,4274,187,1240,186,8403,5307,5236,-2140,10027,1153,718,2065,6091,0
1979:Q2,68706,1526,20791,13996,8025,1998,0,1904,2069,18958,41,2237,1012,10145,6885,0,3260,74215,63500,29170,0,22825,16174,6651,204,1270,185,9846,6281,6422,-2857,10715,1177,785,2315,6438,0
1979:Q3,70501,1936,22972,10125,7861,-1551,0,1888,1927,20249,40,2487,990,11702,8149,0,3553,76323,65112,28184,0,23513,15037,8476,221,1300,206,11688,7372,4888,-572,11211,1349,852,2495,6515,0
1979:Q4,67470,2205,26640,3946,7169,-7023,0,2184,1616,17458,39,2566,969,13647,9293,0,4354,73375,62010,18301,0,29204,14805,14399,265,1340,208,12692,8147,3286,1259,11365,1284,1019,2694,6368,0
1980:Q1,63046,2647,19397,8109,6144,-246,0,1108,1103,18735,38,2066,948,11106,7451,0,3655,68098,57485,22387,0,21863,13122,8741,274,1400,239,11322,6731,5458,-867,10613,1179,1055,1594,6785,0
1980:Q2,76056,2711,24212,12163,7913,-137,0,1738,2649,18620,37,2283,927,15103,10519,0,4584,90147,69669,27756,0,25235,13170,12065,283,1500,373,14522,9746,5154,-378,20478,1750,1088,2036,6929,8675
1980:Q3,77261,2905,22023,10689,6655,465,0,1718,1851,19972,37,2745,906,17984,12662,0,5322,92584,70680,24543,0,27258,11162,16096,349,1600,497,16433,10869,5520,44,21904,2446,1343,2022,7238,8855
1980:Q4,91220,2997,32911,6554,6750,-4746,0,2509,2041,24737,36,3268,886,19831,14081,0,5750,106610,84063,25859,0,35486,13265,22221,183,1700,483,20352,12951,7261,140,22547,2950,703,2172,8091,8631
1981:Q1,90687,2950,25376,19065,6799,8332,0,1696,2238,21807,35,3053,867,17534,12450,0,5084,105888,83280,37416,0,26134,11508,14626,169,1800,419,17342,11653,9327,-3638,22608,3061,652,2351,7022,9522
1981:Q2,95747,2720,29665,16750,10730,1130,0,2066,2824,22179,34,3384,848,20167,14660,0,5507,112889,87950,37518,0,27809,14746,13063,181,1900,374,20168,13620,13238,-6690,24939,2450,694,2489,7714,11592
1981:Q3,93257,3139,34394,14043,8031,1962,0,1766,2284,21068,34,2768,829,16982,12168,0,4814,113921,85719,38516,0,26150,13861,12289,193,2000,334,18526,11592,19437,-12503,28202,2230,741,2259,8655,14317
1981:Q4,121345,2844,47727,20949,11572,2958,0,3004,3415,23023,33,3475,811,22483,15944,0,6539,132045,113044,53977,0,34379,16020,18359,221,2100,324,22043,13860,19954,-11771,19001,2608,851,2191,9148,4203
1982:Q1,102549,3398,34832,21481,9425,6685,0,1873,3498,19250,56,2750,850,19932,13765,0,6167,113688,94431,48778,0,24932,10828,14104,181,2200,263,18077,11788,23906,-17617,19257,2142,411,2192,10030,4482
1982:Q2,109250,3275,41500,18862,13009,-722,0,2431,4144,19099,37,3274,985,22218,16072,0,6146,122206,101037,49209,0,28978,11805,17173,232,2300,263,20055,13004,31205,-24154,21169,1944,518,2287,11405,5015
1982:Q3,129048,4557,50153,17758,14399,-4991,0,3108,5242,20798,13,3283,821,31665,24562,0,7103,142402,120220,57871,0,30829,13275,17554,299,2450,406,28365,20878,22750,-15263,22182,2501,672,2532,10888,5589
1982:Q4,149990,4504,43738,36187,16447,9199,0,4628,5913,25791,-2,4921,645,34206,25257,0,8949,164647,139820,74247,0,37888,14575,23313,298,2600,643,24144,22977,21718,-20551,24827,3803,945,2994,11396,5689
1983:Q1,141833,3952,49007,19159,8315,3492,0,3319,4033,26743,-16,5099,714,37175,26270,0,10905,158348,130918,63669,46,31707,13760,17947,324,2692,649,31831,22267,24502,-14938,27430,5179,1056,3171,12436,5588
1983:Q2,155530,4013,53224,19032,8954,-871,0,3821,7128,32758,-25,7423,760,38345,28130,0,10215,173389,143811,66287,74,36396,17540,18856,352,3221,520,36961,24799,24742,-12580,29578,6394,1090,3402,12704,5988
1983:Q3,174432,3421,62693,25032,10208,4483,0,3614,6727,33781,-30,7470,826,41239,31095,0,10144,190816,162414,84353,122,35228,15455,19773,385,3083,494,38749,28679,25259,-15189,28402,4737,1132,3408,13070,6055
1983:Q4,193504,3641,78562,25539,11598,-473,0,6472,7942,34177,-26,10005,638,40968,29674,0,11294,211406,180847,95150,377,41033,18460,22573,393,5086,486,38322,24479,26265,-12422,30559,5040,1358,3642,13827,6692
1984:Q1,186401,3726,81202,19493,10641,-2602,0,3696,7758,31723,-25,8127,451,41704,30092,0,11612,204933,173622,96334,128,36500,17688,18812,440,4027,410,35783,24340,29422,-17979,31311,3740,1541,3686,14883,7461
1984:Q2,195440,3525,93633,14695,11596,-7718,0,3370,7447,32657,-42,7653,620,42699,30342,0,12357,213305,182843,101931,337,36398,17641,18757,504,4133,266,39274,27017,32770,-20513,30462,3330,1621,3322,16297,5892
1984:Q3,209889,3488,92034,27278,13092,491,0,4944,8751,30415,-39,9111,514,47088,33731,0,13357,229419,196544,109625,515,38518,17880,20638,516,4727,431,42212,28499,26108,-12395,32875,3953,1652,3821,15664,7785
1984:Q4,255130,3904,109699,54122,17301,12140,0,11008,13673,31834,-37,8914,592,46102,32406,0,13696,274746,241150,141650,1071,49589,21692,27897,654,5465,428,42293,27025,26872,-11604,33596,3729,2043,3966,16338,7520
1985:Q1,229399,3937,106799,26648,10499,-1600,1220,4511,12018,30614,-38,10957,594,49888,35609,0,14279,251893,215053,117147,382,43097,19567,23530,594,4199,482,49152,31510,28706,-11064,36840,4503,1848,4284,17401,8804
1985:Q2,253334,3751,108989,34157,12618,-3507,2440,5498,17108,36878,-43,12039,596,56967,42156,0,14811,277088,238231,123208,548,56463,24395,32068,598,5280,566,51568,36452,26677,-11561,38857,5025,1819,4552,18040,9421
1985:Q3,265873,4200,116430,39456,13928,-3436,3660,6133,19171,38968,-39,10615,630,55613,40331,0,15282,294121,249791,132932,622,55357,25835,29522,602,5699,624,53955,35835,20254,-2134,44330,4540,1825,4724,17952,15289
1985:Q4,356926,6275,143180,58195,14549,-4011,4880,19922,22855,50699,-41,14070,951,83597,64599,0,18998,387736,338390,168182,1342,79230,29462,49768,690,7998,773,80175,57730,24527,-2082,49346,6763,2540,4718,19299,16026
1986:Q1,372604,5531,136776,72666,16125,14590,6100,8541,27310,52848,-29,16599,964,87249,63700,0,23549,405667,351818,182329,990,81230,28838,52392,730,6745,654,79140,55975,16084,7081,53849,10424,2610,5285,18191,17339
1986:Q2,391443,5225,155422,71529,18140,12498,7320,7737,25834,52842,-23,16027,947,89474,66190,0,23284,432752,369081,199594,1696,75341,29035,46306,750,7294,643,83763,54290,6615,22858,63671,9921,2644,6157,17847,27102
1986:Q3,405218,6196,180321,70014,15109,11164,8540,10210,24991,55521,-20,16727,988,75471,64859,0,10612,440873,382094,218387,1322,73090,23580,49510,762,7077,638,80818,53557,6398,20863,58779,9331,2700,6136,18354,22258
1986:Q4,426495,8450,188407,66254,12599,4120,9760,16595,23180,57429,-25,17721,1576,86683,65514,0,21169,460713,402590,224361,3397,83258,24261,58997,690,7632,932,82320,53503,9246,19571,58123,10953,2540,6398,18845,19387
1987:Q1,432544,6775,197168,51374,10042,-6126,10908,12233,24317,53567,-22,18314,1603,103765,82107,0,21658,470128,407023,224187,2952,76068,21884,54184,1005,8787,956,93068,66324,10611,16133,63105,13100,3411,7192,19661,19741
1987:Q2,430299,6312,210448,36325,11354,-17144,12200,8357,21558,56889,-15,17614,1591,101135,79979,0,21156,465748,404614,227971,3340,75248,22760,52488,1150,8424,658,87823,60604,8023,19196,61134,11084,3870,7056,18716,20408
1987:Q3,471418,5968,240369,30299,12846,-26607,13420,7971,22669,59395,-11,20423,1590,113385,90707,0,22678,505686,444845,251798,4022,78408,25253,53155,1351,8892,550,99824,69844,16775,13205,60841,11533,4009,7278,19499,18522
1987:Q4,451702,7448,264626,39779,14150,-16685,14640,8286,19388,41797,-9,10685,3472,83904,64265,0,19639,482149,425133,269097,3248,60204,19116,41088,650,6828,394,84712,49128,19954,15630,57016,7573,2066,5877,19754,21746
1988:Q1,480741,9656,282706,42765,14564,-15703,15860,6006,22038,40625,10,11495,3089,90395,68878,0,21517,515246,452428,295387,3498,63682,20744,42938,754,8300,459,80348,51490,32330,-3472,62818,9161,2606,6345,19348,25358
1988:Q2,497066,10951,289479,34283,17381,-31253,17080,7375,23700,41231,16,11075,2886,107145,86147,0,20998,532293,468012,293874,5327,64324,18955,45369,374,9413,489,94211,63400,34124,-3313,64281,9180,1305,6500,20373,26923
1988:Q3,517410,10172,323899,33693,14158,-31306,18300,6967,25574,42131,16,11881,2798,92820,71996,0,20824,555481,487876,324621,5511,63275,18193,45082,781,9012,507,84169,55689,35028,-6548,67605,8449,2655,6664,20602,29235
1988:Q4,502446,9390,312062,23518,14773,-47396,19520,7480,29141,43506,50,12233,3561,98126,77687,0,20439,540336,473249,300811,7517,64156,19084,45072,970,8548,543,90704,54514,39227,-3037,67087,8131,3383,6578,20493,28502
1989:Q1,553902,8812,347904,37374,15336,-35659,20740,4891,32066,39338,71,12566,3588,104249,82434,0,21815,594823,524630,346500,9649,66072,19626,46446,979,8463,412,92555,62072,37062,-6579,70193,8822,2942,6649,20940,30840
1989:Q2,641187,9731,387628,67678,15736,-8745,21960,7017,31710,44641,74,13423,3336,114676,92755,0,21921,683502,611529,416032,10865,74415,22052,52363,1097,8532,543,100045,66459,40186,-6600,71973,9792,3249,6188,21031,31713
1989:Q3,621352,8749,350241,69531,14202,-4995,23180,5786,31358,44294,83,14081,3328,131045,108057,0,22988,664766,590780,399576,10128,67212,23002,44210,1043,8216,703,103902,83963,44638,-24699,73986,10539,3234,6475,21620,32118
1989:Q4,615811,9758,317274,103686,17811,21506,24400,7097,32872,42540,115,14078,3296,125064,101238,0,23826,655810,586163,396611,13783,76276,21011,55265,1428,8005,606,89454,61977,47224,-19747,69647,9363,5400,5788,20747,28349
1990:Q1,596622,10145,327226,72870,17097,-2986,25620,6162,26977,41977,124,9884,3396,131000,109747,0,21253,638276,567676,377772,12289,70833,20113,50720,1429,6095,645,98613,64467,44724,-10578,70600,9080,5437,5725,20497,29861
