date,FL344090055.Q,LM344022025.Q,LM343061113.Q,LM343061723.Q,LM343063023.Q,FL343069055.Q,LM343064125.Q,FL344090055.Q
1945:Q4,0,0,0,0,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q4,0,0,0,0,0,0,0,0
1955:Q1,0,0,0,0,0,0,0,0
1955:Q2,0,0,0,0,0,0,0,0
1955:Q3,0,0,0,0,0,0,0,0
1955:Q4,0,0,0,0,0,0,0,0
1956:Q1,0,0,0,0,0,0,0,0
1956:Q2,0,0,0,0,0,0,0,0
1956:Q3,0,0,0,0,0,0,0,0
1956:Q4,0,0,0,0,0,0,0,0
1957:Q1,0,0,0,0,0,0,0,0
1957:Q2,0,0,0,0,0,0,0,0
1957:Q3,0,0,0,0,0,0,0,0
1957:Q4,0,0,0,0,0,0,0,0
1958:Q1,0,0,0,0,0,0,0,0
1958:Q2,0,0,0,0,0,0,0,0
1958:Q3,0,0,0,0,0,0,0,0
1958:Q4,0,0,0,0,0,0,0,0
1959:Q1,0,0,0,0,0,0,0,0
1959:Q2,0,0,0,0,0,0,0,0
1959:Q3,0,0,0,0,0,0,0,0
1959:Q4,0,0,0,0,0,0,0,0
1960:Q1,0,0,0,0,0,0,0,0
1960:Q2,0,0,0,0,0,0,0,0
1960:Q3,0,0,0,0,0,0,0,0
1960:Q4,0,0,0,0,0,0,0,0
1961:Q1,0,0,0,0,0,0,0,0
1961:Q2,0,0,0,0,0,0,0,0
1961:Q3,0,0,0,0,0,0,0,0
1961:Q4,0,0,0,0,0,0,0,0
1962:Q1,0,0,0,0,0,0,0,0
1962:Q2,0,0,0,0,0,0,0,0
1962:Q3,0,0,0,0,0,0,0,0
1962:Q4,0,0,0,0,0,0,0,0
1963:Q1,0,0,0,0,0,0,0,0
1963:Q2,0,0,0,0,0,0,0,0
1963:Q3,0,0,0,0,0,0,0,0
1963:Q4,0,0,0,0,0,0,0,0
1964:Q1,0,0,0,0,0,0,0,0
1964:Q2,0,0,0,0,0,0,0,0
1964:Q3,0,0,0,0,0,0,0,0
1964:Q4,0,0,0,0,0,0,0,0
1965:Q1,0,0,0,0,0,0,0,0
1965:Q2,0,0,0,0,0,0,0,0
1965:Q3,0,0,0,0,0,0,0,0
1965:Q4,0,0,0,0,0,0,0,0
1966:Q1,0,0,0,0,0,0,0,0
1966:Q2,0,0,0,0,0,0,0,0
1966:Q3,0,0,0,0,0,0,0,0
1966:Q4,0,0,0,0,0,0,0,0
1967:Q1,0,0,0,0,0,0,0,0
1967:Q2,0,0,0,0,0,0,0,0
1967:Q3,0,0,0,0,0,0,0,0
1967:Q4,0,0,0,0,0,0,0,0
1968:Q1,0,0,0,0,0,0,0,0
1968:Q2,0,0,0,0,0,0,0,0
1968:Q3,0,0,0,0,0,0,0,0
1968:Q4,0,0,0,0,0,0,0,0
1969:Q1,0,0,0,0,0,0,0,0
1969:Q2,0,0,0,0,0,0,0,0
1969:Q3,0,0,0,0,0,0,0,0
1969:Q4,0,0,0,0,0,0,0,0
1970:Q1,0,0,0,0,0,0,0,0
1970:Q2,0,0,0,0,0,0,0,0
1970:Q3,0,0,0,0,0,0,0,0
1970:Q4,0,0,0,0,0,0,0,0
1971:Q1,0,0,0,0,0,0,0,0
1971:Q2,0,0,0,0,0,0,0,0
1971:Q3,0,0,0,0,0,0,0,0
1971:Q4,0,0,0,0,0,0,0,0
1972:Q1,0,0,0,0,0,0,0,0
1972:Q2,0,0,0,0,0,0,0,0
1972:Q3,0,0,0,0,0,0,0,0
1972:Q4,0,0,0,0,0,0,0,0
