date,FU634090005.Q,FU634090005.Q,FU153034005.Q,FU103034000.Q,FU113034003.Q,FU213034003.Q,FU513034005.Q,FU543034005.Q,FU573034005.Q,FU223034005.Q,FU653034003.Q,FU563034003.Q,FU503034005.Q,FU263034003.Q
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974:Q1,263,263,263,0,0,0,0,0,0,0,0,0,0,0
1974:Q2,307,307,307,0,0,0,0,0,0,0,0,0,0,0
1974:Q3,816,816,816,0,0,0,0,0,0,0,0,0,0,0
1974:Q4,993,993,993,0,0,0,0,0,0,0,0,0,0,0
1975:Q1,1241,1241,1241,0,0,0,0,0,0,0,0,0,0,0
1975:Q2,41,41,41,0,0,0,0,0,0,0,0,0,0,0
1975:Q3,47,47,47,0,0,0,0,0,0,0,0,0,0,0
1975:Q4,-63,-63,-63,0,0,0,0,0,0,0,0,0,0,0
1976:Q1,67,67,-88,0,0,0,0,155,0,0,0,0,0,0
1976:Q2,-282,-282,-216,0,0,0,0,-66,0,0,0,0,0,0
1976:Q3,-9,-9,-19,0,0,0,0,10,0,0,0,0,0,0
1976:Q4,-17,-17,-223,0,0,0,0,206,0,0,0,0,0,0
1977:Q1,56,56,-160,31,0,0,0,185,0,0,0,0,0,0
1977:Q2,-17,-17,78,43,0,0,0,-161,23,0,0,0,0,0
1977:Q3,20,20,-61,56,0,0,0,-5,30,0,0,0,0,0
1977:Q4,424,424,241,70,0,0,0,72,41,0,0,0,0,0
1978:Q1,1733,1733,1537,55,0,0,0,85,56,0,0,0,0,0
1978:Q2,1339,1339,1316,13,0,0,0,-52,62,0,0,0,0,0
1978:Q3,1448,1448,1165,81,0,0,0,142,60,0,0,0,0,0
1978:Q4,2401,2401,1713,261,0,0,0,340,87,0,0,0,0,0
1979:Q1,7212,7212,6765,418,0,0,0,-112,141,0,0,0,0,0
1979:Q2,7895,7895,6988,553,0,0,0,166,188,0,0,0,0,0
1979:Q3,8279,8279,7141,665,0,0,0,248,225,0,0,0,0,0
1979:Q4,11020,11020,9637,754,0,0,0,360,269,0,0,0,0,0
1980:Q1,16078,16078,15066,757,0,0,0,-63,318,0,0,0,0,0
1980:Q2,16535,16535,15403,675,0,0,0,112,345,0,0,0,0,0
1980:Q3,2074,2074,75,957,0,0,0,692,350,0,0,0,0,0
1980:Q4,-3486,-3486,-5637,1604,0,0,0,109,438,0,0,0,0,0
1981:Q1,37808,37808,34156,2444,0,0,0,597,611,0,0,0,0,0
1981:Q2,15648,15648,10042,3478,0,0,5,1233,890,0,0,0,0,0
1981:Q3,34599,34599,28834,3373,0,0,15,1098,1279,0,0,0,0,0
1981:Q4,21835,21835,17212,2128,0,0,22,1322,1151,0,0,0,0,0
1982:Q1,12427,12427,10275,1131,0,0,42,513,466,0,0,0,0,0
1982:Q2,10948,10948,10496,383,0,0,132,937,-1000,0,0,0,0,0
1982:Q3,25566,25566,25983,-219,0,0,273,488,-959,0,0,0,0,0
1982:Q4,-15318,-15318,-14652,-680,0,0,1189,-792,-383,0,0,0,0,0
1983:Q1,-22592,-22592,-22383,-1505,0,0,839,268,189,0,0,0,0,0
1983:Q2,-16443,-16443,-13675,-2701,0,0,702,-1120,351,0,0,0,0,0
1983:Q3,-1303,-1303,259,-2566,0,0,1311,-681,374,0,0,0,0,0
1983:Q4,-123,-123,-969,-1106,0,0,1716,-91,327,0,0,0,0,0
1984:Q1,15607,15607,13960,356,0,0,658,371,262,0,0,0,0,0
1984:Q2,5022,5022,2814,1809,0,0,83,119,197,0,0,0,0,0
1984:Q3,5173,5173,932,1954,0,0,587,1318,382,0,0,0,0,0
1984:Q4,28285,28285,26668,790,0,0,101,558,168,0,0,0,0,0
1985:Q1,7446,7446,7271,-242,0,0,42,-116,491,0,0,0,0,0
1985:Q2,6095,6095,5535,-1145,0,0,688,431,586,0,0,0,0,0
1985:Q3,-3679,-3679,-3582,-262,0,0,295,-354,224,0,0,0,0,0
1985:Q4,387,387,2521,103,0,0,-2641,-1871,848,1427,0,0,0,0
1986:Q1,22726,22726,20312,1553,0,0,8,356,430,67,0,0,0,0
1986:Q2,11570,11570,10994,883,60,0,-196,-67,-90,-14,0,0,0,0
1986:Q3,17949,17949,16007,1264,26,0,-166,32,679,107,0,0,0,0
1986:Q4,-3896,-3896,-3602,-99,19,0,-517,-719,884,138,0,0,0,0
1987:Q1,12323,12323,12194,709,-7,0,74,-883,204,32,0,0,0,0
1987:Q2,-2986,-2986,-2051,-308,-54,0,-633,-882,814,128,0,0,0,0
1987:Q3,4693,4693,5380,93,-49,0,-503,-609,329,52,0,0,0,0
1987:Q4,9914,9914,9966,329,1,0,-214,-685,495,78,0,0,-56,0
1988:Q1,28588,28588,23992,638,757,0,1520,988,618,97,0,0,-22,0
1988:Q2,-16876,-16876,-18057,-2045,683,0,640,385,1181,350,0,0,-13,0
1988:Q3,-651,-651,-2269,-1197,390,0,1038,724,482,201,0,0,-20,0
1988:Q4,11705,11705,9257,-687,362,0,1511,992,150,148,0,0,-28,0
1989:Q1,26199,26199,25714,812,257,0,-790,-877,785,278,0,0,20,0
1989:Q2,20795,20795,21314,257,-112,0,-941,-1183,1172,261,0,0,27,0
1989:Q3,30926,30926,32071,315,-111,0,-1049,-875,200,159,0,0,20,196
1989:Q4,13225,13225,14436,-809,431,0,-4498,1863,1258,296,0,0,53,195
1990:Q1,35689,35689,26809,3557,410,0,1712,1827,971,244,0,0,-37,196
1990:Q2,-10401,-10401,-14471,1411,193,0,1633,1337,-652,-20,0,0,-28,196
1990:Q3,31603,31603,23058,3109,430,0,2476,2558,-303,123,0,0,-43,195
1990:Q4,14370,14370,6798,2028,-143,0,2677,2221,456,190,0,0,-53,196
1991:Q1,54143,54143,47311,3863,-312,0,797,2015,-882,-569,0,0,1725,195
1991:Q2,-19754,-19754,-21226,-111,431,0,-553,134,517,78,0,0,780,196
1991:Q3,351,351,-4136,960,292,0,-526,-335,1343,261,0,0,2296,196
1991:Q4,6433,6433,2752,1290,326,0,-131,-320,-288,22,0,0,2587,195
1992:Q1,32395,32395,21847,5569,1054,0,262,340,104,-5,0,0,3028,196
1992:Q2,-15098,-15098,-18805,2697,490,0,650,-252,68,22,0,0,-164,196
1992:Q3,-2874,-2874,-8648,3656,217,0,686,-79,732,139,0,0,228,195
1992:Q4,-10670,-10670,-14936,3093,564,0,367,-303,165,85,0,0,99,196
1993:Q1,13330,13330,8455,164,-278,26,83,-442,2216,397,0,0,2513,196
1993:Q2,-7112,-7112,-9288,-1614,570,27,-167,-15,2057,343,0,0,780,195
1993:Q3,-1890,-1890,-3220,-1197,708,52,-200,273,188,67,0,0,1243,196
1993:Q4,14797,14797,9387,113,138,53,-14,116,2103,305,0,0,2401,195
1994:Q1,16969,16969,13533,2383,288,53,-245,1396,2505,422,0,0,-3562,196
1994:Q2,-5656,-5656,-6093,481,1944,105,-175,706,1635,296,0,0,-4751,196
1994:Q3,9563,9563,9806,1654,229,105,-175,233,294,57,0,0,-2835,195
1994:Q4,24810,24810,20519,2879,1782,106,-203,475,996,188,0,0,-2128,196
1995:Q1,30869,30869,20370,5294,15,70,710,-330,888,201,0,0,3463,188
1995:Q2,44799,44799,28804,6885,1026,195,710,891,2530,446,0,0,3124,188
1995:Q3,24200,24200,13291,5272,225,43,710,273,1188,183,0,0,2827,188
1995:Q4,42145,42145,26466,7309,661,125,710,351,1876,282,0,0,4177,188
1996:Q1,71184,71184,52972,7889,-271,51,710,692,2900,465,0,0,5588,188
1996:Q2,-6454,-6454,-10530,-94,1052,-7,-2015,623,1756,254,0,0,2320,187
1996:Q3,34315,34315,22122,4120,279,16,1049,656,2708,507,0,0,2670,188
1996:Q4,49744,49744,32026,5743,1142,63,-477,724,4098,781,0,0,5456,188
1997:Q1,63626,63626,41409,8413,1097,97,930,1113,4822,1121,0,0,4436,188
1997:Q2,-1733,-1733,-8269,1568,617,54,-542,-267,2442,663,0,0,1813,188
1997:Q3,51427,51427,28521,7449,1063,94,333,-639,7389,1416,0,0,5613,188
1997:Q4,43758,43758,30616,6777,892,79,-797,232,-1038,142,0,0,6667,188
1998:Q1,83521,83521,61748,11438,1766,77,338,443,606,422,0,0,6495,188
1998:Q2,26105,26105,15241,5130,2859,220,323,1906,539,459,0,0,-760,188
1998:Q3,98391,98391,72171,13778,2125,157,1763,3946,773,772,0,0,2718,188
1998:Q4,84776,84776,60340,12539,2917,2340,184,-384,1186,577,0,0,4890,187
1999:Q1,86689,86689,57913,11219,1940,97,97,2513,4070,1050,0,0,7602,188
1999:Q2,-17522,-17522,-20687,-1271,214,76,-3593,912,2815,713,0,0,3111,188
1999:Q3,55883,55883,32799,7619,1310,75,664,4768,5146,1214,0,0,2100,188
1999:Q4,136418,136418,96110,17497,4671,156,-2214,1084,546,471,0,0,17909,188
2000:Q1,83003,83003,65647,7549,479,83,2297,-1742,285,-455,0,0,8672,188
2000:Q2,-37899,-37899,-27778,-7072,275,44,180,-644,13,41,0,0,-3942,984
2000:Q3,69128,69128,49181,5599,3532,79,186,275,2913,559,0,0,5821,983
2000:Q4,117870,117870,88394,11055,4399,36,887,2656,864,99,0,0,8496,984
2001:Q1,190211,190211,133650,32536,2973,56,-3654,6318,-3551,1231,0,0,19668,984
2001:Q2,16996,16996,-3138,12953,1620,123,-382,-2356,-194,748,0,0,6639,983
2001:Q3,109183,109183,65928,25621,1678,0,1772,7839,-389,1030,0,0,4720,984
2001:Q4,123672,123672,75060,29040,3317,114,-769,-2167,-1557,641,0,0,19009,984
2002:Q1,-37453,-37453,-30735,-3092,-750,27,-631,1658,1120,62,0,0,-6095,983
2002:Q2,-57088,-57088,-51207,-5867,1010,24,179,2783,5039,-1264,0,0,-8769,984
2002:Q3,-32605,-32605,-28375,-2514,-1646,-2,3280,4752,3116,-2618,0,0,-8176,-422
2002:Q4,106911,106911,73194,17123,3730,93,2192,-3519,143,7753,0,0,6624,-422
2003:Q1,-66211,-66211,-48041,-7860,573,-3,-1557,2287,-1176,4339,0,0,-14350,-423
2003:Q2,-41253,-41253,-30649,-4373,573,163,1267,-4058,292,-19461,0,0,15415,-422
2003:Q3,-67261,-67261,-50282,-8134,574,192,-265,926,343,-11043,0,0,-1275,1703
2003:Q4,-50329,-50329,-37212,-5788,573,426,-387,-10442,27,7140,0,0,-6369,1703
2004:Q1,-47413,-47413,-40301,1445,618,322,-921,2961,-108,10213,0,0,-23345,1703
2004:Q2,-50735,-50735,-43208,642,768,-52,-1281,2098,212,-22101,0,0,10484,1703
2004:Q3,-49701,-49701,-42265,562,768,675,1106,3428,267,4339,0,0,-18905,324
2004:Q4,9528,9528,1753,9758,769,-375,242,-5393,183,-4644,0,0,6911,324
2005:Q1,-36678,-36678,-42871,1680,611,141,147,3275,383,1109,0,0,-1477,324
2005:Q2,-11106,-11106,-24020,5714,611,529,-623,-4294,343,3478,0,0,6832,324
2005:Q3,47974,47974,17639,15858,611,846,98,1411,665,-4427,0,0,15555,-282
2005:Q4,124931,124931,70976,29802,611,-475,-226,-4398,747,6822,0,0,21354,-282
2006:Q1,7127,7127,1740,4205,794,220,-593,2631,1236,-1363,0,0,-1460,-283
2006:Q2,60437,60437,38586,13866,794,437,-1062,7254,1494,-556,0,0,-94,-282
2006:Q3,101401,101401,67425,21524,794,618,826,5066,1399,2968,0,0,-1532,2313
2006:Q4,142665,142665,96355,29388,793,811,1445,2341,1328,3565,0,0,4326,2313
2007:Q1,79348,79348,51061,14713,543,870,2977,1333,1940,59,0,0,3540,2312
2007:Q2,96436,96436,62712,17842,542,996,293,1587,2011,6767,0,0,1373,2313
2007:Q3,316564,316564,215101,58177,543,2119,1480,950,2094,-9082,0,0,38016,7166
2007:Q4,254961,254961,173005,46906,542,1959,2621,2951,1926,-500,0,0,18385,7166
2008:Q1,356780,356780,219254,86483,261,2572,5469,13119,1643,6233,0,0,14580,7166
2008:Q2,-65243,-65243,-73507,8633,262,411,1130,2566,1284,-1259,0,0,-11929,7166
2008:Q3,42996,42996,-96,30223,261,1029,-537,2457,1499,-7019,0,0,10493,4686
2008:Q4,411944,411944,244974,108018,261,3280,6554,19254,2187,6985,0,0,15746,4685
2009:Q1,-18361,-18361,-27933,5809,-415,-651,409,2874,-2160,2132,0,0,-3112,4686
2009:Q2,-160775,-160775,-120694,-24639,-415,-1489,-4127,-7179,-2775,-6599,0,0,2457,4685
2009:Q3,-227638,-227638,-163119,-39855,-415,-1841,-824,-8493,-2804,1049,0,0,-10249,-1087
2009:Q4,-109570,-109570,-84407,-15244,-416,-1154,1211,-8923,-2653,-4380,0,0,7484,-1088
2010:Q1,-332086,-332086,-208556,-87973,778,-304,-4305,-7426,-2730,-1946,0,0,-18537,-1087
2010:Q2,-170476,-170476,-104236,-50937,777,400,-708,-3651,-2662,-769,0,0,-7602,-1088
2010:Q3,-16750,-16750,-3785,-17994,778,1290,3288,-5382,-2698,-1215,0,0,11436,-2468
2010:Q4,-7569,-7569,-6331,-13025,777,1435,-2367,-4289,-2742,4498,6903,-3230,13269,-2467
2011:Q1,-64138,-64138,-52240,-19443,211,-252,2076,-1467,3885,6358,14424,316,-15538,-2468
2011:Q2,-35470,-35470,-26135,-12251,212,2,-1634,-1296,4200,3056,4506,127,-3789,-2468
2011:Q3,-58399,-58399,-28139,-15344,211,-136,-2582,1446,4464,-5716,-11565,178,-5981,4765
2011:Q4,65432,65432,27436,7728,212,781,-3561,10848,4137,-6329,17450,135,1830,4765
2012:Q1,-79735,-79735,-63666,-23644,753,-1386,-2040,-5629,-4345,585,21005,636,-6768,4764
2012:Q2,-76751,-76751,-49474,-15622,754,-1036,1149,2444,-4133,-662,-3528,-81,-11327,4765
2012:Q3,72811,72811,47100,4389,753,-253,3308,-2385,-4152,1761,13443,670,1659,6518
2012:Q4,138377,138377,103640,23959,754,465,90,-881,-4121,861,-13112,945,19260,6517
2013:Q1,-74176,-74176,-76293,-11394,506,-878,-834,-10677,3064,507,27583,-975,-11303,6518
2013:Q2,-20890,-20890,-34984,5933,506,-241,-3188,-229,3265,-3007,9270,-1950,-2782,6517
2013:Q3,102948,102948,27842,24496,506,391,-163,2111,3235,2713,35526,-554,8745,-1900
2013:Q4,42808,42808,14432,11545,505,-83,1887,-3002,3086,5631,12624,-45,-1871,-1901
2014:Q1,-51500,-51500,-3563,-14339,733,-1042,-2412,-922,347,-1404,-23365,20,-3653,-1900
2014:Q2,-75111,-75111,-61556,-10028,732,-883,1295,-1019,332,-2091,3665,-116,-3541,-1901
2014:Q3,48173,48173,31901,12062,732,-198,427,2516,356,-2078,-4974,-189,6144,1474
2014:Q4,104126,104126,29727,34164,732,422,-1206,3925,285,2630,14562,-34,17446,1473
2015:Q1,-70615,-70615,-34664,-14695,616,-608,428,-1858,-649,-2331,-4844,31,-13515,1474
2015:Q2,-44821,-44821,-20753,-2920,617,-260,977,-932,-511,4177,-14500,771,-12960,1473
2015:Q3,58267,58267,68977,10392,616,119,1069,11300,-440,-3593,-22636,354,-7559,-332
2015:Q4,62403,62403,33297,26233,617,558,862,-5645,-616,1164,-9842,-1078,17186,-333
2016:Q1,-13738,-13738,-22818,-24511,648,1475,-3414,-663,1267,-2920,6395,1230,29905,-332
2016:Q2,-95026,-95026,-67912,-38655,647,979,-2035,-6513,1080,4559,-9035,5647,16545,-333
2016:Q3,-25542,-25542,-32872,-29320,648,1274,855,-2082,1037,1925,9852,4779,25169,-6807
2016:Q4,11326,11326,-19839,-20028,647,1673,-2249,-4496,1051,7543,20843,-860,33849,-6808
2017:Q1,-28567,-28567,-44673,-34,2174,-663,542,1695,-89,-2551,33038,2565,-13764,-6807
2017:Q2,-34012,-34012,-19509,6020,2306,-377,536,855,-36,-1191,-8454,654,-8008,-6808
2017:Q3,137271,137271,60498,32520,2307,749,1187,1812,421,1812,31602,35,-2524,6852
2017:Q4,90617,90617,76539,30190,2306,597,1735,-548,275,-1064,-26315,1576,-1526,6852
2018:Q1,-52560,-52560,-31210,-30635,1192,-1249,1791,-1749,-107,1358,11626,-799,-9629,6851
2018:Q2,24147,24147,37312,-15457,1192,-627,5541,2618,-258,-69,-4911,-4643,-3403,6852
2018:Q3,51348,51348,-1156,-12595,1192,-508,-3881,-4049,-201,-829,42344,7797,21446,1788
2018:Q4,146219,146219,168395,6910,1192,294,-788,9902,157,-2842,-66985,1077,27118,1789
2019:Q1,194039,194039,120080,9525,887,882,-371,-2906,5273,2634,61981,1142,-6876,1788
2019:Q2,117176,117176,-38933,23266,886,1487,3514,4674,5398,-5200,113027,4354,2915,1788
2019:Q3,233108,233108,242260,41219,886,2317,400,5464,5495,260,-83946,729,16095,1929
2019:Q4,168456,168456,121992,34316,887,2073,-1056,-3386,5314,4493,-12037,104,13826,1930
2020:Q1,724713,724713,462122,116515,5061,7195,-62,30251,7814,7719,1256,896,84017,1929
2020:Q2,360411,360411,214601,50830,5061,4564,8081,-3834,6063,-1577,9292,6196,59205,1929
2020:Q3,-240751,-240751,-163721,-34808,5062,345,-2809,-11961,5990,1056,-31643,-1782,-13976,7496
2020:Q4,-80919,-80919,-95409,-10431,5061,1567,4708,-6624,4749,-6990,10567,-755,5141,7497
2021:Q1,214078,214078,92421,34749,756,4070,1914,-3003,1774,1496,26369,-2338,48374,7496
2021:Q2,35399,35399,-12726,13924,386,3047,-5740,6048,1395,-2425,-8743,1905,30832,7496
2021:Q3,3828,3828,-62931,8064,566,2827,3512,-2132,2184,7551,14854,6951,16108,6274
2021:Q4,186230,186230,96784,43544,650,5361,-2880,-3163,2092,-3922,-33760,-1724,76974,6274
2022:Q1,-114748,-114748,-25840,-46455,636,639,-3664,916,2151,-1790,32111,-3830,-75895,6273
2022:Q2,-58268,-58268,53599,-26398,2453,1765,1681,5742,3675,-3950,-37711,-5809,-59589,6274
2022:Q3,51803,51803,86670,-13580,1569,2584,5513,1921,4005,800,1442,3731,-41180,-1672
2022:Q4,138819,138819,162590,12985,1641,4773,7891,1745,4716,1054,-36422,-5584,-14898,-1672
2023:Q1,469506,469506,341985,67293,704,4288,-3299,2310,2604,-777,3670,4812,47589,-1673
2023:Q2,224783,224783,185610,29441,1152,862,2874,10150,4491,-5166,116,-1167,-1908,-1672
2023:Q3,225612,225612,191794,32585,358,1044,-6959,-3230,3395,2528,-13166,4175,6593,6495
2023:Q4,214589,214589,183409,27464,122,566,9601,17790,1778,-937,7555,-5768,-33169,6178
2024:Q1,83148,83148,42352,10355,549,834,-2696,-6720,4468,-1323,14083,1567,17285,2394
