date,FL763194705.Q,FL513194703.Q,FL543194703.Q,FL613194733.Q,FL663194705.Q,FL263194735.Q,FL733094735.Q,FL733194735.Q,FL763094703.Q,FL513094703.Q,FL543094703.Q,FL663094705.Q,FL263094733.Q,FL103094705.Q,FL103094705.Q,FL663170605.Q,FL663070675.Q,FL663070605.Q,FL313172003.Q,FL163072003.Q,FL103072005.Q,FL113072003.Q,FL613072003.Q
1964:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969:Q1,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969:Q2,200,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969:Q3,300,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969:Q4,400,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970:Q1,500,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970:Q2,600,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970:Q3,800,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970:Q4,1000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971:Q1,1100,0,0,69,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971:Q2,1200,0,0,134,0,0,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971:Q3,1400,0,0,273,0,0,1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971:Q4,1500,0,0,565,0,0,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972:Q1,1600,0,0,1035,0,0,2635,0,0,0,0,0,0,0,0,250,0,250,0,0,0,0,0
1972:Q2,1700,0,0,1707,0,0,3407,0,0,0,0,0,0,0,0,500,0,500,0,0,0,0,0
1972:Q3,1900,0,0,2404,0,0,4304,0,0,0,0,0,0,0,0,750,0,750,0,0,0,0,0
1972:Q4,2100,0,0,2950,0,0,5050,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0
1973:Q1,2100,0,0,3385,815,0,6300,0,0,0,0,0,0,0,0,1250,0,1250,0,0,0,0,0
1973:Q2,2200,0,0,3499,985,0,6684,0,0,0,0,0,0,0,0,1500,0,1500,0,0,0,0,0
1973:Q3,2150,0,0,3559,3507,0,9216,0,0,0,0,0,0,0,0,1750,0,1750,0,0,0,0,0
1973:Q4,2250,0,0,3584,3697,0,9531,0,0,0,0,0,0,0,0,2000,0,2000,0,0,0,0,0
1974:Q1,2400,0,0,3514,4687,0,10601,0,0,0,0,0,0,0,0,2250,0,2250,0,0,0,0,0
1974:Q2,2600,0,0,3292,4931,0,10823,0,0,0,0,0,0,0,0,2500,0,2500,0,0,0,0,0
1974:Q3,2750,0,0,3133,5941,0,11824,0,0,0,0,0,0,0,0,2750,0,2750,0,0,0,0,0
1974:Q4,2850,0,0,3251,6110,0,12211,0,0,0,0,0,0,0,0,3000,0,3000,0,0,0,0,0
1975:Q1,3000,0,0,3590,7010,0,13600,0,0,0,0,0,0,500,500,3250,0,3250,0,0,0,0,0
1975:Q2,3200,0,0,3842,7345,0,14387,0,0,0,0,0,0,1000,1000,3500,0,3500,0,0,0,0,0
1975:Q3,3400,0,0,7003,4908,0,15311,0,0,0,0,0,0,1500,1500,3750,0,3750,0,0,0,0,0
1975:Q4,3550,0,0,9913,4517,0,17980,700,0,0,0,0,700,2000,2000,4000,0,4000,0,0,0,0,0
1976:Q1,3650,0,0,10437,4773,0,18860,700,0,0,0,0,700,2250,2250,3937,310,4247,0,0,0,0,0
1976:Q2,3740,0,0,11326,4742,0,19808,700,0,0,0,0,700,2500,2500,3842,178,4020,0,0,0,0,0
1976:Q3,3850,0,0,12202,4568,0,20620,800,0,0,0,0,800,2750,2750,3837,198,4035,0,0,0,0,0
1976:Q4,4004,0,0,13232,4490,0,21726,800,0,0,0,0,800,3000,3000,4660,610,5270,0,0,0,0,0
1977:Q1,4140,0,0,13054,4574,0,21768,800,0,0,0,0,800,3250,3250,4519,931,5450,0,0,0,0,0
1977:Q2,4240,0,0,13530,4878,0,22648,900,0,0,0,0,900,3500,3500,5529,540,6069,0,0,0,0,0
1977:Q3,4340,0,0,14304,4884,0,23528,900,0,0,0,0,900,3750,3750,5488,443,5931,0,0,0,0,0
1977:Q4,4645,0,0,13653,5530,0,23828,900,0,0,0,0,900,4000,4000,5499,491,5990,0,0,0,0,0
1978:Q1,4720,0,0,13600,6134,0,24454,900,0,0,0,0,900,4500,4500,5055,561,5616,0,0,0,0,0
1978:Q2,4949,0,0,15726,3392,0,24067,228,0,0,0,0,228,4775,4775,5859,360,6219,0,0,0,0,0
1978:Q3,5045,0,0,16102,3434,0,24581,230,0,0,0,0,230,5050,5050,6249,517,6766,0,0,0,0,0
1978:Q4,5222,0,0,16924,3647,0,25793,234,0,0,0,0,234,5325,5325,5719,1016,6735,0,0,0,0,0
1979:Q1,5282,0,0,16358,5236,0,26876,235,0,0,0,0,235,5600,5600,5307,555,5862,0,0,0,0,0
1979:Q2,5324,0,0,16402,6422,0,28148,252,0,0,0,0,252,5875,5875,6281,604,6885,0,0,0,0,0
1979:Q3,5539,0,0,18210,4888,0,28637,734,0,0,0,0,734,6150,6150,7372,777,8149,0,0,0,0,0
1979:Q4,5846,0,0,19293,3286,0,28425,1045,0,0,0,0,1045,6425,6425,8147,1146,9293,0,0,0,0,0
1980:Q1,5916,0,0,18599,5458,0,29973,1181,0,0,0,0,1181,6700,6700,6731,720,7451,0,0,0,0,0
1980:Q2,6151,0,0,19411,5154,0,30716,1311,0,0,0,0,1311,6975,6975,9746,773,10519,0,0,0,0,0
1980:Q3,6310,0,0,20143,5520,0,31973,1641,0,0,0,0,1641,7250,7250,10869,1793,12662,0,0,0,0,0
1980:Q4,6321,0,0,21425,7261,0,35007,1840,0,0,0,0,1840,7525,7525,12951,1130,14081,0,0,0,0,0
1981:Q1,6608,0,0,15571,9327,0,31506,2081,0,0,0,0,2081,7800,7800,11653,797,12450,0,0,0,0,0
1981:Q2,6900,0,0,14111,13238,0,34249,2308,0,0,0,0,2308,8075,8075,13620,1040,14660,0,0,0,0,0
1981:Q3,7066,0,0,11250,19437,0,37753,2505,0,0,0,0,2505,8350,8350,11592,576,12168,0,0,0,0,0
1981:Q4,7578,0,0,12478,19954,0,40010,2876,0,0,0,0,2876,8625,8625,13860,2084,15944,0,0,0,0,0
1982:Q1,7391,0,0,11657,23906,0,42954,2869,0,0,0,0,2869,8900,8900,11788,1977,13765,0,0,0,0,0
1982:Q2,7016,0,0,9229,31205,0,47450,1876,0,0,0,0,1876,9175,9175,13004,3068,16072,0,0,0,0,0
1982:Q3,8251,0,0,15852,22750,0,46853,3173,0,0,0,0,3173,9450,9450,20878,3684,24562,0,0,0,0,0
1982:Q4,8976,0,0,18684,21718,0,49378,3158,0,0,0,0,3158,9725,9725,22977,2280,25257,0,0,0,0,0
1983:Q1,8548,0,0,19588,24502,0,52638,2888,0,0,0,0,2888,10000,10000,22267,4003,26270,0,0,0,0,0
1983:Q2,8497,0,0,20300,24742,0,53539,2936,0,0,0,0,2936,10275,10275,24799,3331,28130,0,0,0,0,0
1983:Q3,9359,0,0,21082,25259,0,55700,3255,0,0,0,0,3255,10550,10550,28679,2416,31095,0,0,0,0,0
1983:Q4,10208,0,0,22759,26265,0,59232,3852,0,0,0,0,3852,10825,10825,24479,5195,29674,0,0,0,0,0
1984:Q1,9635,0,0,23345,29422,0,62402,3813,0,0,0,0,3813,11100,11100,24340,5752,30092,0,0,0,0,0
1984:Q2,9175,0,0,25011,32770,0,66956,3646,0,0,0,0,3646,11375,11375,27017,3325,30342,0,0,0,0,0
1984:Q3,10880,0,0,29429,26108,0,66417,5247,0,0,0,0,5247,11650,11650,28499,5232,33731,0,0,0,0,0
1984:Q4,12039,0,0,31053,26872,0,69964,4632,0,0,0,0,4632,11925,11925,27025,5381,32406,0,0,0,0,0
1985:Q1,11990,0,0,32990,28706,0,73686,5126,0,0,0,0,5126,12223,12223,31510,4099,35609,0,0,0,0,0
1985:Q2,12254,0,0,37285,26677,0,76216,4671,0,0,0,0,4671,14237,14237,36452,5704,42156,0,0,0,0,0
1985:Q3,13190,0,0,43396,20254,0,76840,3897,0,0,0,0,3897,13999,13999,35835,4496,40331,0,0,0,0,0
1985:Q4,13552,0,0,43897,24527,0,81976,3506,0,0,0,0,3506,16657,16657,57730,6869,64599,0,0,0,0,0
1986:Q1,14532,0,0,48410,16084,0,79026,3923,0,0,0,0,3923,14908,14908,55975,7725,63700,0,0,0,0,0
1986:Q2,20047,0,0,47648,6615,0,74310,4026,0,0,0,0,4026,19259,19259,54290,11900,66190,0,0,0,0,0
1986:Q3,19523,0,0,51951,6398,0,77872,4043,0,0,0,0,4043,18493,18493,53557,11302,64859,0,0,0,0,0
1986:Q4,20633,0,0,52177,9246,0,82056,4709,0,0,0,0,4709,18726,18726,53503,12011,65514,0,0,0,0,0
1987:Q1,22314,0,0,52200,10611,0,85125,4582,0,0,0,0,4582,19050,19050,66324,15783,82107,0,0,0,0,0
1987:Q2,20729,0,0,57972,8023,0,86724,4029,0,0,0,0,4029,14500,14500,60604,19375,79979,0,0,0,0,0
1987:Q3,21984,0,0,50514,16775,0,89273,4776,0,0,0,0,4776,13750,13750,69844,20863,90707,0,0,0,0,0
1987:Q4,24261,0,0,46893,19954,0,91108,5589,0,0,0,0,5589,12500,12500,49128,15137,64265,0,0,0,0,0
1988:Q1,24409,0,0,34972,32330,0,91711,5037,0,0,0,0,5037,23443,23443,51490,17388,68878,0,0,0,0,0
1988:Q2,25774,0,0,33446,34124,0,93344,7411,0,0,0,0,7411,28388,28388,63400,22747,86147,0,0,0,0,0
1988:Q3,28189,0,0,30830,35028,0,94047,9393,0,0,0,0,9393,24893,24893,55689,16307,71996,0,0,0,0,0
1988:Q4,29379,0,0,27274,39227,0,95880,10311,0,0,0,0,10311,24014,24014,54514,23173,77687,0,0,0,0,0
1989:Q1,28531,0,0,28413,37062,0,94006,9601,0,0,0,0,9601,23086,23086,62072,20362,82434,0,0,0,0,0
1989:Q2,29771,0,0,27754,40186,0,97711,9225,0,0,0,0,9225,25247,25247,66459,26296,92755,0,0,0,0,0
1989:Q3,29490,0,0,25362,44638,0,99490,8638,0,0,0,0,8638,32301,32301,83963,24094,108057,0,0,0,0,0
1989:Q4,30070,0,0,25326,47224,0,102620,8092,0,0,0,0,8092,34501,34501,61977,39261,101238,0,0,0,0,0
1990:Q1,31400,0,0,22760,44724,0,98884,8478,0,0,0,0,8478,41043,41043,64467,45280,109747,0,0,0,0,0
1990:Q2,28530,0,0,21475,42219,0,92224,8369,0,0,0,0,8369,41156,41156,63704,53214,116918,0,0,0,0,0
1990:Q3,38548,0,0,26498,35471,0,100517,13273,1123,0,0,3930,8220,44928,44928,55579,67085,122664,0,0,0,0,0
1990:Q4,37811,0,0,21187,34284,0,93282,12681,1164,0,0,2920,8597,40042,40042,51518,71403,122921,0,0,0,0,0
1991:Q1,42388,0,0,14184,35091,0,91663,13754,1001,0,0,3226,9527,47415,47415,59446,72021,131467,0,0,0,0,0
1991:Q2,44200,0,0,14919,31794,0,90913,14025,1203,0,0,3154,9668,51942,51942,62696,79494,142190,0,0,0,0,0
1991:Q3,43277,0,0,15986,29446,0,88709,12991,1545,0,0,3043,8403,47653,47653,66028,90020,156048,0,0,0,0,0
1991:Q4,47376,0,0,14779,27880,0,90035,12355,1421,0,0,3082,7852,55764,55764,73857,102937,176794,0,0,0,0,0
1992:Q1,28069,0,0,14166,27663,0,69898,12032,1315,0,0,3100,7617,55820,55820,77797,117992,195789,0,0,0,0,0
1992:Q2,29544,0,0,13861,24679,0,68084,12440,1316,0,0,3047,8077,46620,46620,87572,109332,196904,0,0,0,0,0
1992:Q3,30640,0,0,12537,27206,0,70383,12822,1334,0,0,3109,8379,48485,48485,103387,144268,247655,0,0,0,0,0
1992:Q4,34605,0,0,14759,23386,0,72750,13502,1342,0,0,3271,8889,49834,49834,77412,153534,230946,0,0,0,0,0
1993:Q1,32916,0,0,22253,15780,0,70949,12894,1394,0,0,2673,8827,39089,39089,107443,159684,267127,0,0,0,0,0
1993:Q2,33162,0,0,22848,17881,0,73891,11431,1248,0,0,2748,7435,47630,47630,95962,163491,259453,0,0,0,0,0
1993:Q3,34264,0,0,22571,16904,0,73739,10589,1542,0,0,1878,7169,47244,47244,109374,177918,287292,0,0,0,0,0
1993:Q4,32806,0,0,21160,25392,0,79358,10279,1694,0,0,2005,6580,44616,44616,109033,197105,306138,0,0,0,0,0
1994:Q1,33960,0,0,20131,24641,0,78732,11546,1297,0,0,2833,7416,36996,36996,128204,206857,335061,0,0,0,0,0
1994:Q2,33059,0,0,21984,20904,0,75947,10895,1405,0,0,2558,6932,33674,33674,131259,222245,353504,0,0,0,0,0
1994:Q3,33571,0,0,24858,20988,0,79417,10153,1650,0,0,2603,5900,30800,30800,132643,233742,366385,0,0,0,0,0
1994:Q4,35402,0,0,25183,24462,0,85047,8738,1896,0,0,2767,4075,28935,28935,136449,221668,358117,0,0,0,0,0
1995:Q1,36568,0,0,23942,26291,0,86801,8380,1711,0,0,2777,3892,28789,28789,163440,233510,396950,0,0,0,0,0
1995:Q2,37276,0,0,26443,28260,0,91979,7078,1379,0,0,3048,2651,33224,33224,138945,214687,353632,0,0,0,0,0
1995:Q3,38733,0,0,27043,29097,0,94873,9343,1641,0,0,3808,3894,34500,34500,157359,211925,369284,0,0,0,0,0
1995:Q4,43107,0,0,28600,27624,0,99331,8460,1944,0,0,3564,2952,29125,29125,158840,216174,375014,0,0,0,0,0
1996:Q1,42196,0,0,29226,29012,0,100434,7966,1207,0,0,4284,2475,32225,32225,205833,242572,448405,0,0,0,0,0
1996:Q2,43793,0,0,32552,27044,0,103389,7944,1221,0,0,3751,2972,30753,30753,195410,249460,444870,0,0,0,0,0
1996:Q3,42665,0,0,31812,25798,0,100275,8968,2221,0,0,4222,2525,33373,33373,217397,265248,482645,0,0,0,0,0
1996:Q4,46171,0,0,31545,25041,0,102757,20369,2307,0,0,15335,2727,29808,29808,213819,276062,489881,0,0,0,0,0
1997:Q1,49265,0,0,40523,17215,0,107003,28455,2609,0,0,23453,2393,20425,20425,293492,291354,584846,0,0,0,0,0
1997:Q2,49896,0,0,36612,23751,0,110259,33298,2948,0,0,28029,2321,13041,13041,300262,337251,637513,0,0,0,0,0
1997:Q3,49914,0,0,41642,24960,0,116516,35514,2079,0,0,30271,3164,24866,24866,331572,334254,665826,0,0,0,0,0
1997:Q4,52966,0,0,35167,38245,0,126378,39129,3376,0,0,32715,3038,15696,15696,285274,333272,618546,0,0,0,0,0
1998:Q1,56084,0,0,40463,40759,0,137306,44500,4206,0,0,36746,3548,8005,8005,402751,354101,756852,0,0,0,0,0
1998:Q2,54882,0,0,36569,58256,0,149707,45724,3313,0,0,39128,3283,1586,1586,412156,382549,794705,0,0,0,0,0
1998:Q3,60164,0,0,34175,65027,0,159366,46687,2221,0,0,40812,3654,10621,10621,379838,417619,797457,0,0,0,0,0
1998:Q4,59653,0,0,36033,59343,0,155029,48000,2911,0,0,42194,2895,14756,14756,345126,403253,748379,0,0,0,0,0
1999:Q1,58631,0,0,39282,64607,0,162520,50757,2037,0,0,45929,2791,13368,13368,443792,359947,803739,0,0,0,0,0
1999:Q2,59165,0,0,38658,72426,0,170249,53973,2560,0,0,44006,7407,13155,13155,449581,375343,824924,0,0,0,0,0
1999:Q3,57086,0,0,52285,53572,0,162943,55696,2273,0,0,45564,7859,17793,17793,408306,397233,805539,0,0,0,0,0
1999:Q4,50327,0,0,83904,18574,0,152805,59175,2780,0,0,48048,8347,28553,28553,449404,419533,868937,0,0,0,0,0
2000:Q1,52351,0,0,104410,-93,0,156668,55418,2625,0,0,48201,4592,28141,28141,629613,421340,1050953,0,0,0,0,0
2000:Q2,53919,0,0,97589,6221,0,157729,56594,2720,0,0,49197,4677,26302,26302,585161,447092,1032253,0,0,0,0,0
2000:Q3,54197,0,0,104790,5429,0,164416,100576,7831,0,0,56110,36635,28243,28243,564355,450874,1015229,0,0,0,0,0
2000:Q4,56052,0,0,109161,6106,0,171319,103966,5233,0,0,59453,39280,29421,29421,496547,486107,982654,0,0,0,0,0
2001:Q1,56715,0,0,127635,5526,0,189876,106642,3200,0,0,63390,40052,10230,10230,538739,464525,1003264,0,0,0,0,0
2001:Q2,55984,0,0,130210,9744,0,195938,124724,7957,0,0,67951,48816,10436,10436,551401,521351,1072752,0,0,0,0,0
2001:Q3,57363,0,0,132357,10876,0,200596,136370,6671,0,0,72507,57192,10608,10608,561277,533144,1094421,0,0,0,0,0
