1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q2,659239,3005,62417,23290,0,6345,25663,13437,5920,1256,5050,0,30835,9482,21353,4173,42579,103102,1068,754,261126,94881,3103630,1325478,211128,6032,1490,203606,482670,172422,58963,251285,2975,220039,18982,389684,1778152,903834,11444,862874
1973:Q3,680149,2729,65208,23084,0,9501,23066,13633,3099,1659,4675,0,31718,10368,21350,4243,48182,104878,1124,765,274447,91204,3228117,1358296,214618,6335,1979,206304,501213,178200,61211,261802,3078,231944,21164,386279,1869822,953723,11842,904257
1973:Q4,719322,3329,69968,22836,0,11262,24614,14876,3665,2035,4038,0,33326,10733,22593,4679,46857,115623,1154,775,280403,104496,3173717,1415078,219254,8382,2430,208442,517203,184900,63101,269202,3101,252446,23290,399784,1758639,809566,11924,937149
1974:Q1,735264,3729,66348,25526,0,12472,25278,16212,2167,2330,4569,0,32418,11162,21256,4636,52182,114556,1178,785,294469,101687,3201045,1446751,224325,9235,2841,212249,534898,192355,66382,276161,3481,254569,26744,402734,1754294,784355,13389,956550
1974:Q2,752087,3529,66933,26384,0,10046,25002,15131,2706,2607,4558,0,33758,11260,22498,4707,54194,116340,1288,794,311006,98106,3214710,1500823,230873,9967,3265,217641,560714,206593,69209,284912,3595,266915,26144,412581,1713887,723428,13823,976636
1974:Q3,770083,3129,69630,26591,0,8630,27813,16933,3207,3080,4593,0,34203,11445,22758,4870,44800,120347,1340,804,319106,108820,3131823,1557695,237971,12569,3596,221806,573728,212453,71701,289574,3928,276869,30652,434548,1574128,540503,15110,1018515
1974:Q4,768011,4946,71516,28248,0,5485,27978,16520,3851,2953,4654,0,34800,11441,23359,4987,53476,123237,1394,816,258807,152321,3113717,1490948,244828,12513,4078,228237,587643,218165,76019,293459,4102,192328,30061,431986,1622769,557656,15781,1049332
1975:Q1,891417,2170,75945,27638,0,1453,24199,6255,7716,3999,6229,0,40437,18866,21571,5135,62821,126873,1436,832,276277,246201,3534426,1755512,255988,14009,4508,237471,585116,210293,77239,297584,4125,180549,28748,700986,1778914,684995,15867,1078052
1975:Q2,908226,1739,78080,29922,0,794,26885,6685,9349,3555,7296,0,40316,17954,22362,5287,69226,130649,1470,851,283132,239876,3677400,1761496,262522,11658,5319,245545,590028,207482,79410,303136,4283,181348,24716,698599,1915905,791700,16473,1107732
1975:Q3,909775,1760,77573,32325,0,813,26605,7267,10435,3484,5419,0,39533,16918,22615,5331,58781,131735,1505,871,299352,233591,3639189,1794772,266725,11780,5920,249025,590716,202895,80483,307338,4279,191931,27300,713821,1844416,701766,16457,1126193
1975:Q4,920351,2622,82597,32218,0,1189,32019,8371,15538,3264,4846,0,40176,16296,23880,5484,60832,135561,1671,890,285992,239100,3725997,1806139,270946,9616,6678,254652,596638,203532,82685,310421,4551,204807,28894,700303,1919859,754897,17506,1147456
1976:Q1,955882,3182,83028,33151,0,3107,37004,9324,20508,3088,4084,0,38885,16240,22645,5626,68056,139041,1734,912,304617,237538,3887314,1832546,278936,10926,6985,261025,599495,196464,86859,316172,4832,197014,32477,719792,2054769,868276,18588,1167905
1976:Q2,988243,3298,84024,34764,0,1329,37266,9073,21690,3029,3474,0,39944,16247,23697,5700,67776,140857,1796,942,319746,250801,3988526,1870750,285306,11818,7487,266001,613967,200387,90638,322942,5016,206206,30102,730153,2117777,887750,19293,1210734
1976:Q3,1011731,2709,84033,34321,0,1961,36374,9486,19886,3018,3984,0,40439,16399,24040,5812,67108,143610,1834,964,333111,259455,4072728,1915939,290926,10889,8360,271677,623862,200366,93341,330155,5182,213366,33486,749117,2156789,897381,19929,1239479
1976:Q4,1078634,3439,89238,38273,0,1459,40669,10511,23062,2868,4228,0,42663,16682,25981,8244,67205,203740,1968,964,318298,262474,4183207,1943631,297550,11049,9163,277338,639774,204040,98819,336915,8992,226618,35575,735122,2239577,927412,34592,1277573
1977:Q1,1098493,3897,85387,37906,31,1701,41454,10494,24067,2789,4104,0,40878,17496,23382,8303,64801,205216,2049,941,341363,264566,4202185,1997258,306725,12083,11928,282714,656846,207655,104891,344300,9153,229562,37262,757710,2204928,857111,35202,1312615
1977:Q2,1122679,4744,88119,39781,74,1848,35906,9442,19386,2682,4396,0,42577,18386,24191,8437,69475,208534,2104,895,355262,264923,4296173,2032388,313376,12914,14079,286383,681626,216077,110222,355327,9321,238749,31819,757497,2263784,882073,35853,1345858
1977:Q3,1155457,4914,88590,41126,130,2167,35605,8984,19178,2375,5068,0,43861,19450,24411,8520,69931,210540,2124,841,373504,273604,4359470,2087310,321380,13175,15713,292492,697241,219263,111673,366305,9503,244953,35421,778812,2272160,845309,36548,1390303
1977:Q4,1207934,5686,95671,47583,200,2115,35400,9390,18968,2672,4370,0,47022,20664,26358,11302,72035,224410,2259,790,366382,297079,4445843,2144724,330331,12808,17377,300146,724016,225944,119033,379039,10497,262084,38005,779791,2301119,819176,40372,1441571
1978:Q1,1240798,7097,89681,47745,255,2376,34589,10332,17725,2897,3635,0,46169,21611,24558,11458,67468,228662,2345,738,387691,314524,4528548,2209771,336927,13719,18702,304506,746867,236476,122016,388375,10757,265290,41101,808829,2318777,773891,41372,1503514
1978:Q2,1270842,7450,92908,48713,268,2272,34088,9330,16971,3358,4429,0,47674,22620,25054,11594,72135,231986,2465,667,412451,306171,4694578,2257269,346165,14419,20838,310908,778132,247796,129191,401145,11193,277986,36205,807588,2437309,833210,43053,1561046
1978:Q3,1313734,6457,94641,48565,349,2038,32651,9061,15835,2779,4976,0,49293,23775,25518,11349,77307,233865,2565,615,439696,314343,4863328,2307652,354093,14992,23017,316084,798113,251565,133210,413338,11696,285398,40066,818286,2555676,895811,44985,1614880
1978:Q4,1387214,8317,105242,53704,610,2509,35150,9512,18254,2773,4611,0,53046,25090,27956,13023,72345,259898,2657,618,433299,346797,4974417,2394446,361647,15499,25041,321107,826167,260603,141443,424121,13154,310446,44006,839026,2579971,856335,50592,1673044
1979:Q1,1437008,12524,103552,53027,1028,3434,34856,8896,17711,3364,4885,0,52786,26742,26044,13463,76954,265044,2725,680,465455,351480,5184162,2473363,370486,17665,27366,325455,853105,270338,148219,434548,13408,315695,49457,871212,2710799,910897,51565,1748337
1979:Q2,1475394,11273,102495,52444,1581,2949,37502,8604,20848,3430,4620,0,54980,28347,26633,13984,78445,271605,2858,800,487885,356593,5335413,2546675,381010,20564,29681,330765,893622,285411,158173,450038,13975,331847,45212,881009,2788738,921144,53754,1813840
1979:Q3,1543902,9777,103192,57541,2246,2685,31184,7732,16879,2570,4003,0,57097,29826,27271,14725,83852,277424,2953,939,520103,380185,5555099,2636468,390698,23828,32325,334545,923689,297955,160900,464834,14550,350254,50597,906680,2918631,981163,55964,1881504
1979:Q4,1613240,10080,114183,61683,3000,3116,32121,9586,16277,1800,4458,0,60384,31203,29181,16695,83307,306867,3179,1060,509809,407756,5746823,2726224,397935,24518,35028,338389,949064,306906,170105,472053,16715,374263,53781,934466,3020598,1014783,64289,1941526
1980:Q1,1639211,9174,112534,60285,3757,2334,36759,10176,16935,1933,7715,0,58416,33093,25323,17655,80503,311833,3335,1177,542195,399255,5848909,2833071,412546,31052,37147,344347,975472,314624,177645,483203,17255,377010,59894,990893,3015839,956911,66364,1992564
1980:Q2,1654505,8564,114969,58764,4432,3023,32027,9757,12423,1969,7878,0,61179,35194,25985,18631,91998,313827,3469,1304,541772,400547,6071094,2874224,431934,36334,40024,355576,977796,304100,182423,491273,18296,371719,54360,1020119,3196870,1076609,70375,2049886
1980:Q3,1740378,8670,116250,60322,5389,3443,34459,9264,16197,1679,7319,0,64881,37843,27038,19736,103136,316504,3565,1421,562227,440375,6363903,2962484,437794,32189,42743,362862,998808,315693,181951,501164,19049,380256,57579,1068998,3401419,1214006,73261,2114152
1980:Q4,1826416,9696,116601,69253,6993,3887,36960,9132,16261,2205,9362,0,70469,40918,29551,22308,113879,353802,3850,1507,561845,455366,6662559,3039225,439987,28026,45892,366069,1037742,336821,188410,512511,23746,409101,59192,1069457,3623335,1346523,91332,2185480
1981:Q1,1955047,9384,111455,75704,9437,3459,31384,8799,15321,2243,5021,0,72529,44696,27833,23286,115801,355334,3960,1541,605062,536711,6888164,3206116,452914,31837,48925,372152,1060208,336731,198336,525141,24420,428655,61994,1177925,3682047,1351007,93924,2237116
1981:Q2,1988924,9411,107732,75574,12915,2925,35398,8163,20172,3864,3199,0,77459,48634,28825,24193,113383,359895,4129,1504,622610,541795,6965752,3273835,470467,37819,52894,379754,1101435,352011,209212,540212,25332,438023,56191,1182387,3691917,1315862,97441,2278614
1981:Q3,2019015,10495,104000,74591,16288,1514,39558,8021,23076,4475,3986,0,81911,52938,28973,26000,101866,359587,4295,1498,638626,558785,6922275,3378574,484375,44081,56029,384265,1138127,368693,215597,553837,26288,435828,58274,1235683,3543700,1136139,101113,2306448
1981:Q4,2063015,12386,97936,80671,18416,1784,46534,8199,21950,5779,10606,0,87862,57515,30347,28894,109002,369351,4564,1624,611151,592840,7109617,3421884,492918,42722,59323,390873,1168549,380402,226381,561766,30927,442051,53608,1233831,3687734,1225637,118949,2343148
1982:Q1,2082489,10066,94473,80616,19547,1820,39685,7908,19110,3809,8858,0,87690,59640,28050,30120,100296,197927,4770,1882,619534,794063,7045595,3504116,511578,49836,62963,398779,1192497,391996,227939,572562,32677,431338,52994,1283031,3541479,1090438,74488,2376553
1982:Q2,2090748,11310,94843,77346,19930,2452,34531,8236,15750,3837,6708,0,90523,61621,28902,29497,98889,202781,4727,2265,627596,794059,7092813,3556027,521903,51741,66287,403875,1230799,412133,232933,585733,33904,436638,47021,1285763,3536786,1073656,75495,2387635
1982:Q3,2147107,8268,96587,85392,19711,3305,36673,7731,18164,2506,8272,0,92407,63236,29171,27633,109408,206557,4820,2689,641153,812503,7240549,3607940,532166,49726,70589,411851,1258306,426335,235111,596860,34571,440290,49204,1293403,3632609,1172793,77530,2382286
1982:Q4,2189415,10063,112027,91673,19031,2435,47703,7948,24255,3322,12178,0,95342,64555,30787,31897,128675,210743,4980,3070,614124,817652,7484736,3623177,533603,37614,74466,421523,1277111,433708,234507,608896,28211,457218,50820,1276214,3861559,1386479,89590,2385490
1983:Q1,2240757,11580,107905,92246,17526,3278,53732,8071,28391,2830,14440,0,94420,65531,28889,28776,141890,215580,5005,3409,628486,836924,7689787,3657355,545830,41187,76920,427723,1313737,435474,235232,643031,27879,438110,57185,1274615,4032432,1533804,90902,2407726
1983:Q2,2312001,11545,116583,97666,14825,3899,60762,9343,31581,3753,16085,0,97475,66730,30745,27745,158078,220261,4983,3707,651607,842865,7925058,3693195,557500,38849,79803,438848,1342964,436509,244551,661904,29738,442362,53628,1267004,4231863,1736716,92259,2402888
1983:Q3,2351870,13176,123739,97393,12259,3847,56816,9943,29491,3141,14241,0,100335,68469,31866,27674,158269,225710,5021,4044,680734,842852,7990981,3775855,565894,40547,81876,443471,1375198,442936,249697,682565,31721,439619,57706,1305717,4215126,1709522,93306,2412298
1983:Q4,2428100,14393,142066,101674,11153,3248,70810,12188,36167,4187,18268,0,106005,70640,35365,26988,159277,262731,5058,4501,678921,841275,8039643,3858956,568188,36775,83897,447516,1431001,464601,260772,705628,30913,464977,55727,1308151,4180687,1630514,106890,2443283
1984:Q1,2518259,15541,155909,99993,11509,4127,82992,12632,44240,2548,23572,0,109126,76050,33076,25313,156938,268766,5065,5034,716809,861137,8140620,4053251,584561,42518,85897,456146,1486064,484217,273113,728734,31321,473593,60422,1417290,4087369,1527807,109741,2449821
1984:Q2,2605697,16503,151707,99091,13318,5917,81000,11246,43437,3291,23026,0,116040,81474,34566,23535,154115,275475,5075,5604,749377,908940,8240108,4230461,606582,53463,88116,465003,1556327,510474,285096,760757,35442,493850,56920,1481340,4009647,1456011,113963,2439673
1984:Q3,2701595,12418,152576,95221,15272,3928,75228,11189,39660,3715,20664,0,121942,86962,34980,22369,170467,280585,5115,6295,775691,964488,8426048,4331181,630042,60349,90480,479213,1601165,518401,294600,788164,36253,494711,57777,1511232,4094867,1543237,116234,2435396
1984:Q4,2713178,13284,160237,104224,16062,3919,79492,9742,41948,5319,22483,0,130832,92454,38378,24401,175013,263661,5140,7193,753413,976307,8483200,4372284,660216,58490,104439,497287,1665530,541632,310646,813252,37203,504505,60318,1444512,4110916,1553653,116169,2441094
1985:Q1,2785548,12568,150217,109420,15820,8081,68285,10202,35624,4183,18276,0,131080,95574,35506,23485,187569,267804,5160,8651,785332,1012076,8736081,4500136,685075,62972,106139,515964,1693407,552752,314517,826138,38624,501790,61330,1519910,4235946,1671498,119952,2444496
1985:Q2,2840694,11895,158964,104764,14675,4225,88176,9798,48218,3502,26658,0,135605,98514,37091,20429,197608,274917,5032,10112,798095,1016197,8891918,4595497,717806,68886,110639,538281,1730978,558176,318441,854361,40318,507609,57964,1540822,4296421,1744053,122482,2429886
1985:Q3,2897284,12514,172773,108177,14413,4794,76473,9326,41501,3533,22113,0,139044,100944,38100,21043,186046,277439,4919,10393,809283,1059973,8953331,4743740,742619,69036,116039,557544,1750831,567885,319902,863044,41305,505527,61746,1641712,4209591,1642361,125211,2442019
1985:Q4,3109005,16023,197485,109901,14516,3374,86923,10478,46856,4017,25572,0,146563,104058,42505,20675,214143,370692,4828,10799,803140,1109944,9310238,4735425,780402,72207,127039,581156,1797732,585944,332083,879705,41644,546211,60605,1508831,4574814,1917631,153289,2503894
1986:Q1,3129755,17734,188505,116137,19191,3349,79307,11646,42964,4167,20530,0,142441,102323,40118,24088,247091,374288,4612,12589,793951,1106472,9545829,4705448,810766,69514,124039,617213,1829742,592081,338244,899417,43407,498756,62165,1460611,4840381,2137668,163080,2539633
1986:Q2,3178161,18854,186128,122345,20134,2900,90823,10268,50723,4518,25314,0,143646,102046,41600,23470,264642,380217,4636,13947,810815,1095604,9742955,4769848,846331,68654,120767,656910,1875306,602647,349601,923058,45054,489911,61722,1451523,4973107,2245424,168356,2559327
1986:Q3,3260421,18104,177915,134442,21424,3742,88764,9378,49491,5750,24145,0,144052,101537,42515,23498,248845,384997,4427,14709,832565,1162937,9744437,4943605,878036,72779,119531,685726,1905929,605349,356058,944522,46226,495109,63911,1554394,4800831,2032679,174766,2593386
1986:Q4,3424114,19201,198348,127838,21344,5073,88684,10173,51096,2360,25055,0,144909,97892,47017,24955,265538,492660,4187,15676,816308,1199394,10090213,5026926,892043,62865,117138,712040,1983133,652566,367221,963346,51191,529417,66053,1505089,5063287,2241896,200911,2620480
1987:Q1,3524220,16826,199534,123132,22046,5556,86391,12384,48425,2274,23308,0,141054,96631,44423,26134,321289,497641,3965,16057,847753,1216843,10590766,5022641,918406,63593,117349,737464,2018568,637674,370841,1010053,57103,532658,67406,1428500,5568125,2709357,208891,2649877
1987:Q2,3571544,15896,203844,122975,21684,5532,79914,13815,43099,3006,19994,0,141018,94447,46571,26169,336338,505161,3866,15039,864259,1229849,10747851,5077033,941146,67916,116146,757084,2059278,646317,382732,1030229,59000,527180,70408,1420020,5670818,2784821,217201,2668796
1987:Q3,3635479,15081,204158,120919,21728,5601,80849,16886,41642,3036,19285,0,140966,92891,48075,26352,357654,512466,3710,14628,886331,1245037,10985700,5124284,963518,68108,116097,779313,2090772,653641,387255,1049876,70075,537607,71305,1391007,5861415,2945570,226600,2689245
1987:Q4,3674811,16262,208865,126333,22058,3362,78567,14966,41589,2648,19364,0,147077,93049,54028,27104,275803,538063,3685,12817,881598,1333217,10692031,5440079,986175,73768,116224,796183,2150202,666130,408806,1075266,66999,578862,71717,1586124,5251952,2287678,236818,2727456
1988:Q1,3757378,18334,205592,124630,23453,3658,76163,12295,41115,3702,19051,0,150548,99635,50913,28833,270421,538954,3602,12167,919892,1381131,11019732,5575238,1011324,73507,115753,822064,2198841,671138,431910,1095793,63962,585078,73192,1642841,5444495,2420352,252797,2771346
1988:Q2,3835450,25398,213793,119384,22091,3075,74323,15348,36777,6107,16091,0,160172,107342,52830,28138,266069,543200,3614,11478,958949,1405765,11262997,5669981,1047566,77847,116168,853551,2247858,691501,439557,1116800,67012,592523,71358,1643664,5593017,2516095,270675,2806247
1988:Q3,3893626,26273,212983,124824,21284,3695,72495,13725,36840,5918,16012,0,168927,115140,53787,27990,245024,550938,3724,10912,975610,1448947,11363591,5783932,1074802,80303,115932,878567,2277469,694773,450701,1131995,71103,589151,71009,1700398,5579659,2460529,282989,2836141
1988:Q4,4179206,21554,225196,129230,20959,4981,74715,13648,38251,6022,16794,0,181253,120496,60757,30781,230344,615657,3753,10627,984210,1645946,11779407,6035009,1102799,85676,116409,900714,2336218,718260,454426,1163532,77855,640021,71132,1806983,5744399,2559333,314053,2871013
1989:Q1,4326289,18622,218570,122107,22028,3744,93104,14686,47795,7692,22931,0,168405,115752,52653,35128,243434,623683,3383,10876,1017506,1745700,12122095,6221179,1127636,96147,115626,915863,2383126,723113,477533,1182480,90624,642483,76986,1900325,5900916,2670653,318291,2911972
1989:Q2,4370315,17113,220105,128116,22173,3524,100109,17526,50845,7090,24648,0,163116,108724,54392,35023,261289,627617,2954,11643,1047531,1730001,12393857,6280615,1162621,110059,115090,937472,2425974,737444,495584,1192946,94414,646860,72612,1878134,6113242,2837245,327843,2948154
1989:Q3,4399878,13992,221388,120264,22377,2449,105256,14351,56344,6564,27997,0,156983,101207,55776,35450,285558,633029,2881,12045,1058457,1729749,12679930,6316998,1181428,113273,114688,953467,2439626,744902,491384,1203340,94682,643932,72619,1884711,6362932,3057566,342218,2963148
1989:Q4,4487394,14705,234901,128961,21999,2783,119190,14291,63378,9170,32351,0,157713,93884,63829,42055,287674,699734,2950,11709,1033072,1729948,12955743,6400646,1197917,107112,115490,975315,2482001,771068,507996,1202937,98272,664370,69706,1888380,6555098,3140008,424050,2991040
1990:Q1,4493482,15669,226143,119428,25966,2036,99565,11574,56308,7046,24637,0,150328,91816,58512,42874,278230,711776,2750,11097,1039846,1767774,12946654,6492596,1222979,126034,114943,982002,2517345,764856,531788,1220701,100943,656136,74037,1921156,6454058,3006907,436483,3010668
1990:Q2,4503921,15551,226576,121084,27570,1800,99797,12555,58039,5292,23911,0,150113,90528,59585,41723,294621,719576,2675,11261,1075983,1715592,13102693,6479333,1242767,128659,115278,998830,2538771,770487,544950,1223334,103723,660767,68993,1864313,6623359,3136251,447057,3040051
1990:Q3,4545715,14509,222158,123818,31109,2792,89772,12016,49068,2886,25802,0,149532,89457,60075,46304,253215,730834,2600,9296,1110440,1759336,12849782,6657129,1252441,131811,115026,1005604,2549120,763216,559715,1226189,104622,681599,72853,1996495,6192653,2654774,465406,3072473
1990:Q4,4476034,14717,242365,125583,32994,2137,91953,13836,50161,3285,24671,0,154945,87804,67141,37491,274682,620444,2575,9723,1064995,1801430,13167845,6678820,1254454,116852,115153,1022449,2557397,764802,569431,1223164,105628,692727,70302,1998312,6489026,2956992,442331,3089703
1991:Q1,4508235,15349,210377,128049,36545,1324,89197,13845,46999,2873,25480,0,146930,87744,59186,41684,313678,627532,2500,11775,1048621,1834674,13570581,6642274,1276700,119851,114860,1041989,2521805,751166,545663,1224976,100253,657593,66752,2019171,6928307,3397923,452981,3077403
1991:Q2,4543127,12599,218448,132669,36865,1430,93375,15866,47099,4955,25455,0,145318,87933,57385,36958,311831,639468,2563,12357,1078110,1821135,13556544,6672989,1300855,119437,115537,1065881,2504079,736853,540839,1226387,106559,667647,59628,2034221,6883555,3355984,447778,3079793
1991:Q3,4600746,13578,229880,136293,38117,1635,108785,14318,54475,3350,36642,0,145331,88088,57243,35902,327479,649858,2626,13606,1092297,1805359,13753054,6696358,1308215,107016,115277,1085922,2459054,724801,531081,1203172,102276,681809,63751,2081253,7056696,3538025,448168,3070503
1991:Q4,4658293,16435,249822,130809,39733,1620,120300,14695,55675,5112,44818,0,151583,88595,62988,35554,353898,707348,2774,14828,1058104,1775485,14250025,6669257,1313573,98477,113984,1101112,2412616,713703,511019,1187894,98961,717167,61371,2065569,7580768,4000417,534545,3045806
1992:Q1,4784260,14978,242201,130553,46356,3211,109435,13853,54367,7872,33322,21,144148,88116,56032,41861,334622,715287,2700,16197,1075481,1907230,14437241,6943780,1345889,110434,114334,1121121,2394878,707442,511179,1176257,97087,698459,67184,2340283,7493461,3914314,547730,3031417
1992:Q2,4796343,14987,242356,131103,49543,3872,132947,14122,70171,7727,40878,49,144926,88053,56873,42279,330317,726010,2600,17119,1119455,1838829,14407321,6953009,1366738,111996,115097,1139645,2372214,699220,509375,1163619,99345,716598,64213,2333902,7454312,3876608,552389,3025315
1992:Q3,4816193,15639,242431,134367,53416,3194,128627,14757,65332,8462,39984,92,146073,88230,57843,41093,329952,736376,2700,18891,1134080,1829354,14539832,6977782,1379380,108216,116104,1155060,2348067,692776,509819,1145472,97896,725753,68374,2358311,7562051,3973482,553247,3035322
1992:Q4,4769316,15791,249374,136186,57073,5057,145149,17044,73565,8585,45813,142,154746,89005,65741,42164,335563,661560,2700,21148,1092754,1850051,14942380,6984646,1394296,107106,118285,1168905,2323474,686913,518277,1118284,101050,756882,68465,2340479,7957734,4369261,564097,3024376
1993:Q1,4865134,13489,244283,144020,56959,3905,131903,15860,56231,15167,44494,151,148682,85331,63351,34864,359409,675320,2808,23483,1132267,1893742,15164298,7038260,1460069,113900,119327,1226842,2290382,676455,511005,1102922,104725,743821,74396,2364867,8126038,4493617,571435,3060986
1993:Q2,4951675,13667,250779,147846,55915,3071,138153,18076,61216,11620,47081,160,147364,82811,64553,41650,370027,683125,2870,25215,1164429,1907564,15287444,7104294,1517140,124025,120705,1272410,2274383,681268,503876,1089239,110104,744100,70609,2387958,8183150,4515232,571715,3096203
1993:Q3,5032434,15278,247207,143401,55426,1963,156758,16698,66531,17224,56150,155,147078,80470,66608,39106,388666,700580,2938,27899,1190125,1916009,15489249,7135135,1562042,123232,122697,1316113,2252668,674656,496025,1081987,114785,752145,73232,2380263,8354114,4646190,564772,3143152
1993:Q4,5287715,14502,271953,155587,55677,2506,157265,19411,62439,19059,56192,164,154910,77681,77229,49516,406967,841182,2997,29776,1143777,2001099,15824383,7200072,1593863,117829,124864,1351170,2251699,683827,488747,1079125,120256,794805,72112,2367337,8624311,4865339,576801,3182171
1994:Q1,5327708,15730,272810,152045,58348,2579,161359,16511,68661,22414,53576,197,149949,78244,71705,62335,381249,856702,3077,29526,1177250,2004749,15785841,7294651,1643978,129885,126947,1387146,2279169,692999,514058,1072112,119436,780468,76964,2394636,8491190,4658750,593026,3239414
1994:Q2,5407405,16080,275316,155832,60773,2514,163188,17880,68659,24901,51518,230,154758,81502,73256,62901,372317,871711,3141,29114,1228063,2011697,15834380,7358195,1673960,135680,129467,1408813,2303714,710850,517003,1075861,120100,805934,73256,2381231,8476185,4573094,595308,3307783
1994:Q3,5479942,12638,281599,157040,62656,2696,161518,17818,76920,14900,51616,264,157798,83057,74741,65033,379788,887811,3208,30922,1246202,2031033,16169894,7365228,1691955,138683,130445,1422827,2326412,727814,517980,1080618,122430,821615,74996,2327820,8804666,4833579,613565,3357522
1994:Q4,5623025,15664,291787,163545,67317,2178,166468,18826,69150,19875,58320,297,171502,84881,86621,52768,369073,918843,3178,31061,1232003,2137638,16296721,7449880,1711446,139238,131689,1440519,2357494,748963,530817,1077714,115548,879494,73122,2312777,8846841,4831577,608246,3407018
1995:Q1,5702274,13850,275210,151005,72626,3707,150297,18211,61608,21042,49135,301,164135,84388,79747,53837,401714,937499,3150,34725,1262686,2177833,16765695,7491630,1734179,149799,131748,1452632,2415101,781259,549208,1084634,112782,875383,82352,2271832,9274066,5203193,627319,3443554
1995:Q2,5839952,14454,273121,161359,80537,9019,176477,17386,69206,24306,65273,306,164945,84440,80505,54493,436328,951649,3121,38408,1289639,2186402,17304146,7545814,1773316,162887,132761,1477668,2457092,807156,556626,1093310,114813,887861,73904,2238828,9758332,5633101,640478,3484753
1995:Q3,5987892,15856,282774,163948,86034,3771,147793,18004,66348,20783,42348,310,162467,84187,78280,55553,467322,971797,3097,42323,1343457,2241700,17898785,7634948,1784090,163268,133510,1487312,2480658,820361,557281,1103016,116187,923602,75515,2254897,10263837,6064628,656185,3543024
1995:Q4,6319701,17403,307886,171147,94004,2440,163690,20142,80724,23421,38999,404,168982,83921,85061,51139,491714,1148264,3123,45668,1325261,2328980,18634153,7780258,1797593,157351,134758,1505484,2528994,836799,581898,1110297,113927,974226,73667,2291851,10853895,6449974,814405,3589516
1996:Q1,6474354,20387,283139,167839,101622,2428,151531,17436,82413,20853,30331,498,158891,82213,76678,49386,521977,1174629,3095,50177,1368703,2420551,19087636,7909427,1837097,174174,134937,1527986,2551434,838415,590724,1122295,121575,970108,83165,2346049,11178209,6728661,830432,3619116
1996:Q2,6623662,19844,295566,176787,102580,4322,168454,20928,90198,22880,33856,592,152502,80485,72017,49650,549214,1188650,3113,54306,1425282,2433392,19565624,8018428,1873228,181726,137110,1554392,2596809,856002,599811,1140996,124688,1002692,80014,2340997,11547196,7035650,852187,3659359
1996:Q3,6756649,20922,311962,186931,106979,4674,166141,23488,79919,25926,36126,682,147689,79169,68520,53351,569961,1206024,3104,57743,1458308,2462859,19792018,8137490,1880751,172999,137084,1570668,2641611,886605,603774,1151232,125525,995044,84317,2410242,11654528,7100424,862048,3692056
1996:Q4,7048946,28208,328285,204675,113864,3904,169909,31534,75645,28480,33644,606,155995,78250,77745,59367,621908,1348740,3166,62566,1442904,2505455,20404845,8235618,1889281,156405,137851,1595025,2671546,899350,602922,1169274,126414,1055536,85547,2407294,12169227,7403482,991023,3774722
1997:Q1,7144367,28968,334820,211214,123374,3732,164323,26721,84519,19272,33125,686,154199,84242,69957,60380,655484,1376025,3170,62961,1488384,2477333,20707828,8391885,1931085,168747,138652,1623686,2722346,931344,610878,1180124,135983,1042740,98935,2460796,12315942,7436807,1010636,3868499
1997:Q2,7281223,33462,334222,227641,125559,3249,148465,25733,70901,11823,39163,845,158877,90904,67973,61398,789496,1397400,3173,69664,1553500,2375117,21916563,8381383,1979805,179286,139800,1660719,2776175,960726,611421,1204028,142369,1065046,95247,2322741,13535179,8572225,1023775,3939179
1997:Q3,7446126,33251,343454,225587,134071,4004,142418,28351,68422,8394,36410,841,166022,97365,68657,61780,869725,1418159,3194,74632,1582265,2387564,22799903,8470185,2034658,176649,141682,1716327,2833188,976768,626018,1230402,142834,1092431,103342,2263732,14329718,9280705,1026379,4022634
1997:Q4,7698993,23139,340114,250089,141740,4562,134658,36145,59081,7971,30556,905,188742,104333,84409,64484,916390,1577539,3166,74492,1566031,2413848,23468550,8620054,2046083,168598,142002,1735483,2932158,1009831,660056,1262271,147887,1152531,99155,2242241,14848496,9414870,1283055,4150571
1998:Q1,7954212,27115,353365,300429,154944,3717,128925,32204,56020,7283,32291,1127,182083,103786,78297,70432,1072297,1618771,3205,84641,1607699,2346589,25043124,8791156,2151561,193105,143842,1814614,2996193,1024469,677940,1293784,151886,1170904,110288,2210324,16251968,10751977,1303715,4196276
1998:Q2,8178494,20577,355005,307586,162933,2491,121443,28870,54878,7036,29480,1179,179902,102852,77050,83423,1136358,1644628,3500,88194,1649614,2422840,25651613,9109344,2252070,202491,145492,1904087,3082744,1067406,684525,1330813,156911,1173175,100645,2343799,16542269,10940801,1313027,4288441
1998:Q3,8292776,18385,353745,316869,178836,3252,126711,31301,57331,8288,28716,1075,177720,102029,75691,80990,1048714,1668148,3500,83020,1708388,2524497,25031599,9491428,2295087,216872,147009,1931206,3169054,1104785,689613,1374656,162268,1206905,111865,2546249,15540171,9878045,1316032,4346094
