date,FA344090005.Q,FA343020033.Q,FA344022005.Q,FA343061105.Q,FA343061705.Q,FA343062033.Q,FA343063005.Q,FA343069005.Q,FA343064105.Q,FA343073045.Q,FA344090005.Q,FA344090045.Q,FA344090055.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,4047,0,0,0,0,0,0,370,0,3677,4047,4047,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3946,0,0,0,0,0,0,823,0,3123,3946,3946,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,4061,0,0,0,0,0,0,823,0,3238,4061,4061,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,4470,0,0,0,0,0,0,1040,0,3430,4470,4470,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4967,0,0,0,0,0,0,784,0,4183,4967,4967,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6409,0,0,0,0,0,0,710,0,5699,6409,6409,0
1952:Q1,7224,0,0,0,0,0,0,716,0,6508,7224,7224,0
1952:Q2,7504,0,0,0,0,0,0,748,0,6756,7504,7504,0
1952:Q3,7544,0,0,0,0,0,0,1928,0,5616,7544,7544,0
1952:Q4,7804,0,0,0,0,0,0,440,0,7364,7804,7804,0
1953:Q1,7608,0,0,0,0,0,0,564,0,7044,7608,7608,0
1953:Q2,7596,0,0,0,0,0,0,476,0,7120,7596,7596,0
1953:Q3,7608,0,0,0,0,0,0,708,0,6900,7608,7608,0
1953:Q4,7740,0,0,0,0,0,0,372,0,7368,7740,7740,0
1954:Q1,7672,0,0,0,0,0,0,396,0,7276,7672,7672,0
1954:Q2,7688,0,0,0,0,0,0,356,0,7332,7688,7688,0
1954:Q3,7436,0,0,0,0,0,0,420,0,7016,7436,7436,0
1954:Q4,7892,0,0,0,0,0,0,500,0,7392,7892,7892,0
1955:Q1,7800,0,0,0,0,0,0,252,0,7548,7800,7800,0
1955:Q2,7936,0,0,0,0,0,0,480,0,7456,7936,7936,0
1955:Q3,7896,0,0,0,0,0,0,1556,0,6340,7896,7896,0
1955:Q4,8132,0,0,0,0,0,0,468,0,7664,8132,8132,0
1956:Q1,8336,0,0,0,0,0,0,344,0,7992,8336,8336,0
1956:Q2,8360,0,0,0,0,0,0,260,0,8100,8360,8360,0
1956:Q3,8480,0,0,0,0,0,0,2668,0,5812,8480,8480,0
1956:Q4,8668,0,0,0,0,0,0,180,0,8488,8668,8668,0
1957:Q1,9168,0,0,0,0,0,0,364,0,8804,9168,9168,0
1957:Q2,9076,0,0,0,0,0,0,48,0,9028,9076,9076,0
1957:Q3,9624,0,0,0,0,0,0,772,0,8852,9624,9624,0
1957:Q4,9912,0,0,0,0,0,0,556,0,9356,9912,9912,0
1958:Q1,9860,0,0,0,0,0,0,1036,0,8824,9860,9860,0
1958:Q2,9292,0,0,0,0,0,0,68,0,9224,9292,9292,0
1958:Q3,10492,0,0,0,0,0,0,1860,0,8632,10492,10492,0
1958:Q4,10092,0,0,0,0,0,0,772,0,9320,10092,10092,0
1959:Q1,10248,0,0,0,0,0,0,988,0,9260,10248,10248,0
1959:Q2,9492,0,0,0,0,0,0,20,0,9472,9492,9492,0
1959:Q3,11348,0,0,0,0,0,0,1908,0,9440,11348,11348,0
1959:Q4,10304,0,0,0,0,0,0,620,0,9684,10304,10304,0
1960:Q1,10664,0,0,0,0,0,0,924,0,9740,10664,10664,0
1960:Q2,10940,0,0,0,0,0,0,972,0,9968,10940,10940,0
1960:Q3,10932,0,0,0,0,0,0,1056,0,9876,10932,10932,0
1960:Q4,10804,0,0,0,0,0,0,752,0,10052,10804,10804,0
1961:Q1,11116,0,0,0,0,0,0,900,0,10216,11116,11116,0
1961:Q2,11364,0,0,0,0,0,0,1128,0,10236,11364,11364,0
1961:Q3,11588,0,0,0,0,0,0,992,0,10596,11588,11588,0
1961:Q4,11420,0,0,0,0,0,0,644,0,10776,11420,11420,0
1962:Q1,11896,0,0,0,0,0,0,1004,0,10892,11896,11896,0
1962:Q2,12128,0,0,0,0,0,0,1180,0,10948,12128,12128,0
1962:Q3,12192,0,0,0,0,0,0,812,0,11380,12192,12192,0
1962:Q4,12388,0,0,0,0,0,0,976,0,11412,12388,12388,0
1963:Q1,12596,0,0,0,0,0,0,1088,0,11508,12596,12596,0
1963:Q2,12904,0,0,0,0,0,0,1420,0,11484,12904,12904,0
1963:Q3,12896,0,0,0,0,0,0,1036,0,11860,12896,12896,0
1963:Q4,13100,0,0,0,0,0,0,1100,0,12000,13100,13100,0
