date,FA634090005.Q,FA634090005.Q,FA153034005.Q,FA103034000.Q,FA113034003.Q,FA213034003.Q,FA513034005.Q,FA543034005.Q,FA573034005.Q,FA223034005.Q,FA653034003.Q,FA563034003.Q,FA503034005.Q,FA263034003.Q
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973:Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973:Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973:Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973:Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974:Q1,1052,1052,1052,0,0,0,0,0,0,0,0,0,0,0
1974:Q2,1228,1228,1228,0,0,0,0,0,0,0,0,0,0,0
1974:Q3,3264,3264,3264,0,0,0,0,0,0,0,0,0,0,0
1974:Q4,3972,3972,3972,0,0,0,0,0,0,0,0,0,0,0
1975:Q1,4964,4964,4964,0,0,0,0,0,0,0,0,0,0,0
1975:Q2,164,164,164,0,0,0,0,0,0,0,0,0,0,0
1975:Q3,188,188,188,0,0,0,0,0,0,0,0,0,0,0
1975:Q4,-252,-252,-252,0,0,0,0,0,0,0,0,0,0,0
1976:Q1,268,268,-352,0,0,0,0,620,0,0,0,0,0,0
1976:Q2,-1128,-1128,-864,0,0,0,0,-264,0,0,0,0,0,0
1976:Q3,-36,-36,-76,0,0,0,0,40,0,0,0,0,0,0
1976:Q4,-68,-68,-892,0,0,0,0,824,0,0,0,0,0,0
1977:Q1,224,224,-640,124,0,0,0,740,0,0,0,0,0,0
1977:Q2,-68,-68,312,172,0,0,0,-644,92,0,0,0,0,0
1977:Q3,80,80,-244,224,0,0,0,-20,120,0,0,0,0,0
1977:Q4,1696,1696,964,280,0,0,0,288,164,0,0,0,0,0
1978:Q1,6932,6932,6148,220,0,0,0,340,224,0,0,0,0,0
1978:Q2,5356,5356,5264,52,0,0,0,-208,248,0,0,0,0,0
1978:Q3,5792,5792,4660,324,0,0,0,568,240,0,0,0,0,0
1978:Q4,9604,9604,6852,1044,0,0,0,1360,348,0,0,0,0,0
1979:Q1,28848,28848,27060,1672,0,0,0,-448,564,0,0,0,0,0
1979:Q2,31580,31580,27952,2212,0,0,0,664,752,0,0,0,0,0
1979:Q3,33116,33116,28564,2660,0,0,0,992,900,0,0,0,0,0
1979:Q4,44080,44080,38548,3016,0,0,0,1440,1076,0,0,0,0,0
1980:Q1,62376,62376,58328,3028,0,0,0,-252,1272,0,0,0,0,0
1980:Q2,66424,66424,61896,2700,0,0,0,448,1380,0,0,0,0,0
1980:Q3,8740,8740,744,3828,0,0,0,2768,1400,0,0,0,0,0
1980:Q4,-12736,-12736,-21340,6416,0,0,0,436,1752,0,0,0,0,0
1981:Q1,147992,147992,133384,9776,0,0,0,2388,2444,0,0,0,0,0
1981:Q2,63576,63576,41152,13912,0,0,20,4932,3560,0,0,0,0,0
1981:Q3,139012,139012,115952,13492,0,0,60,4392,5116,0,0,0,0,0
1981:Q4,88980,88980,70488,8512,0,0,88,5288,4604,0,0,0,0,0
1982:Q1,36256,36256,27648,4524,0,0,168,2052,1864,0,0,0,0,0
1982:Q2,48020,48020,46212,1532,0,0,528,3748,-4000,0,0,0,0,0
1982:Q3,106488,106488,108156,-876,0,0,1092,1952,-3836,0,0,0,0,0
1982:Q4,-56272,-56272,-53608,-2720,0,0,4756,-3168,-1532,0,0,0,0,0
1983:Q1,-126412,-126412,-125576,-6020,0,0,3356,1072,756,0,0,0,0,0
1983:Q2,-56756,-56756,-45684,-10804,0,0,2808,-4480,1404,0,0,0,0,0
1983:Q3,9868,9868,16116,-10264,0,0,5244,-2724,1496,0,0,0,0,0
1983:Q4,11456,11456,8072,-4424,0,0,6864,-364,1308,0,0,0,0,0
1984:Q1,16100,16100,9512,1424,0,0,2632,1484,1048,0,0,0,0,0
1984:Q2,40956,40956,32124,7236,0,0,332,476,788,0,0,0,0,0
1984:Q3,33224,33224,16260,7816,0,0,2348,5272,1528,0,0,0,0,0
1984:Q4,126068,126068,119600,3160,0,0,404,2232,672,0,0,0,0,0
1985:Q1,-17212,-17212,-17912,-968,0,0,168,-464,1964,0,0,0,0,0
1985:Q2,49824,49824,47584,-4580,0,0,2752,1724,2344,0,0,0,0,0
1985:Q3,-6556,-6556,-6168,-1048,0,0,1180,-1416,896,0,0,0,0,0
1985:Q4,14944,14944,23480,412,0,0,-10564,-7484,3392,5708,0,0,0,0
1986:Q1,38726,38726,31921,3361,0,0,32,1424,1720,268,0,0,0,0
1986:Q2,89476,89476,85025,5679,240,0,-784,-268,-360,-56,0,0,0,0
1986:Q3,77010,77010,69039,5258,104,0,-664,128,2716,428,0,0,0,0
1986:Q4,-11816,-11816,-11141,105,76,0,-2068,-2876,3536,552,0,0,-0,0
1987:Q1,-5414,-5414,-2814,-280,-28,0,296,-3532,816,128,0,0,0,0
1987:Q2,35578,35578,37260,826,-216,0,-2532,-3528,3256,512,0,0,0,0
1987:Q3,21946,21946,24309,758,-196,0,-2012,-2436,1316,208,0,0,0,0
1987:Q4,43666,43666,43201,1989,4,0,-856,-2740,1980,312,0,0,-224,0
1988:Q1,53852,53852,39346,-1325,3028,0,6080,3952,2472,388,0,0,-88,0
1988:Q2,-11139,-11139,-18196,-5846,2732,0,2560,1540,4724,1400,0,0,-52,0
1988:Q3,-952,-952,-7806,-4406,1560,0,4152,2896,1928,804,0,0,-80,0
1988:Q4,49302,49302,38349,-1586,1448,0,6044,3968,600,592,0,0,-112,0
1989:Q1,35949,35949,39020,-1762,1028,0,-3160,-3508,3140,1112,0,0,80,0
1989:Q2,152618,152618,152026,3696,-448,0,-3764,-4732,4688,1044,0,0,108,0
1989:Q3,122491,122491,126722,1609,-444,0,-4196,-3500,800,636,0,0,80,784
1989:Q4,53522,53522,56373,-1242,1724,0,-17992,7452,5032,1184,0,0,212,780
1990:Q1,69479,69479,40499,7688,1640,0,6848,7308,3884,976,0,0,-148,784
1990:Q2,34372,34372,14179,9557,772,0,6532,5348,-2608,-80,0,0,-112,784
1990:Q3,125772,125772,91204,12824,1720,0,9904,10232,-1212,492,0,0,-172,780
1990:Q4,55421,55421,22894,10351,-572,0,10708,8884,1824,760,0,0,-212,784
1991:Q1,141698,141698,127173,8268,-1248,0,3188,8060,-3528,-2276,0,0,1281,780
1991:Q2,-263,-263,-16413,4281,1724,0,-2212,536,2068,312,0,0,8656,784
1991:Q3,2811,2811,-16573,4681,1168,0,-2104,-1340,5372,1044,0,0,9778,784
1991:Q4,20447,20447,4617,6778,1304,0,-524,-1280,-1152,88,0,0,9837,780
1992:Q1,56625,56625,25673,15146,4216,0,1048,1360,416,-20,0,0,8002,784
1992:Q2,14648,14648,-11021,16249,1960,0,2600,-1008,272,88,0,0,4724,784
1992:Q3,-3534,-3534,-28842,16202,868,0,2744,-316,2928,556,0,0,1546,780
1992:Q4,-52726,-52726,-67979,12464,2256,0,1468,-1212,660,340,0,0,-1508,784
1993:Q1,-20810,-20810,-31012,-5731,-1112,104,332,-1768,8864,1588,0,0,7141,784
1993:Q2,49006,49006,29703,-841,2280,108,-668,-60,8228,1372,0,0,8103,780
1993:Q3,5146,5146,-2709,-2743,2832,208,-800,1092,752,268,0,0,5462,784
1993:Q4,43158,43158,25354,-821,552,212,-56,464,8412,1220,0,0,7042,780
1994:Q1,-8056,-8056,-11523,2822,1152,212,-980,5584,10020,1688,0,0,-17816,784
1994:Q2,62640,62640,47639,9100,7776,420,-700,2824,6540,1184,0,0,-12927,784
1994:Q3,50584,50584,50162,8546,916,420,-700,932,1176,228,0,0,-11876,780
1994:Q4,77576,77576,64782,9120,7128,424,-812,1900,3984,752,0,0,-10486,784
1995:Q1,39758,39758,11629,13347,60,280,2840,-1320,3552,804,0,0,7814,752
1995:Q2,285948,285948,202211,37803,4104,780,2840,3564,10120,1784,0,0,21990,752
1995:Q3,100247,100247,57427,21846,900,172,2840,1092,4752,732,0,0,9734,752
1995:Q4,142099,142099,84457,26045,2644,500,2840,1404,7504,1128,0,0,14826,752
1996:Q1,188977,188977,134606,21714,-1084,204,2840,2768,11600,1860,0,0,13717,752
1996:Q2,114976,114976,69150,14942,4208,-28,-8060,2492,7024,1016,0,0,23484,748
1996:Q3,133018,133018,88160,15325,1116,64,4196,2624,10832,2028,0,0,7920,752
1996:Q4,158185,158185,94443,18651,4568,252,-1908,2896,16392,3124,0,0,19015,752
1997:Q1,145936,145936,78850,22436,4388,388,3720,4452,19288,4484,0,0,7179,752
1997:Q2,175886,175886,108829,27620,2468,216,-2168,-1068,9768,2652,0,0,26817,752
1997:Q3,188962,188962,101969,27836,4252,376,1332,-2556,29556,5664,0,0,19781,752
1997:Q4,117528,117528,79460,18936,3568,316,-3188,928,-4152,568,0,0,20340,752
1998:Q1,214399,214399,149933,34544,7064,308,1352,1772,2424,1688,0,0,14561,752
1998:Q2,331506,331506,234918,48547,11436,880,1292,7624,2156,1836,0,0,22066,752
1998:Q3,370793,370793,272464,52096,8500,628,7052,15784,3092,3088,0,0,7337,752
1998:Q4,254474,254474,180685,36353,11668,9360,736,-1536,4744,2308,0,0,9408,748
1999:Q1,237817,237817,142947,35866,7760,388,388,10052,16280,4200,0,0,19184,752
1999:Q2,180392,180392,102843,29562,856,304,-14372,3648,11260,2852,0,0,42687,752
1999:Q3,205149,205149,118092,27795,5240,300,2656,19072,20584,4856,0,0,5802,752
1999:Q4,422514,422514,300658,47033,18684,624,-8856,4336,2184,1884,0,0,55215,752
2000:Q1,256586,256586,195225,28604,1916,332,9188,-6968,1140,-1820,0,0,28217,752
2000:Q2,90740,90740,63371,8295,1100,176,720,-2576,52,164,0,0,15503,3936
2000:Q3,271116,271116,195351,19729,14128,316,744,1100,11652,2236,0,0,21929,3932
2000:Q4,309965,309965,247830,11896,17596,144,3548,10624,3456,396,0,0,10540,3936
2001:Q1,728855,728855,491403,139566,11892,224,-14616,25272,-14204,4924,0,0,80458,3936
2001:Q2,278470,278470,140864,83608,6480,492,-1528,-9424,-776,2992,0,0,51830,3932
2001:Q3,443547,443547,269447,101541,6712,0,7088,31356,-1556,4120,0,0,20903,3936
2001:Q4,309376,309376,184286,75885,13268,456,-3076,-8668,-6228,2564,0,0,46953,3936
2002:Q1,-139499,-139499,-141578,8662,-3000,108,-2524,6632,4480,248,0,0,-16459,3932
2002:Q2,-56849,-56849,-70855,-2899,4038,96,716,11132,20156,-5056,0,0,-18113,3936
2002:Q3,-114252,-114252,-101808,-9531,-6584,-8,13120,19008,12464,-10472,0,0,-28754,-1688
2002:Q4,229660,229660,165749,26368,14922,372,8768,-14076,572,31012,0,0,-2338,-1688
2003:Q1,-209282,-209282,-170089,-5365,2292,-12,-6228,9148,-4704,17356,0,0,-49987,-1692
2003:Q2,-31458,-31458,-13666,-4578,2292,652,5068,-16232,1168,-77844,0,0,73370,-1688
2003:Q3,-249381,-249381,-186287,-31967,2296,768,-1060,3704,1372,-44172,0,0,-846,6812
2003:Q4,-410096,-410096,-294694,-62710,2292,1704,-1548,-41768,108,28560,0,0,-48852,6812
2004:Q1,-92021,-92021,-94513,33790,2472,1288,-3684,11844,-432,40852,0,0,-90450,6812
2004:Q2,-98724,-98724,-94095,13715,3072,-208,-5124,8392,848,-88404,0,0,56268,6812
2004:Q3,-186983,-186983,-161421,2118,3072,2700,4424,13712,1068,17356,0,0,-71307,1296
2004:Q4,-175556,-175556,-146055,6,3076,-1500,968,-21572,732,-18576,0,0,6069,1296
2005:Q1,-25442,-25442,-85374,37278,2444,564,588,13100,1532,4436,0,0,-1306,1296
2005:Q2,52399,52399,-30991,37797,2444,2116,-2492,-17176,1372,13912,0,0,44121,1296
2005:Q3,188182,188182,66488,60503,2444,3384,392,5644,2660,-17708,0,0,65503,-1128
2005:Q4,285345,285345,136773,76638,2444,-1900,-904,-17592,2988,27288,0,0,60738,-1128
2006:Q1,159536,159536,91456,53073,3176,880,-2372,10524,4944,-5452,0,0,4439,-1132
2006:Q2,345209,345209,223148,72275,3176,1748,-4248,29016,5976,-2224,0,0,17470,-1128
2006:Q3,387671,387671,255741,80403,3176,2472,3304,20264,5596,11872,0,0,-4408,9252
2006:Q4,354103,354103,246080,70181,3172,3244,5780,9364,5312,14260,0,0,-12542,9252
2007:Q1,467432,467432,301147,98703,2172,3480,11908,5332,7760,236,0,0,27446,9248
2007:Q2,486489,486489,311791,91332,2168,3984,1172,6348,8044,27068,0,0,25330,9252
2007:Q3,1233227,1233227,835344,224227,2172,8476,5920,3800,8376,-36328,0,0,152576,28664
2007:Q4,802087,802087,559234,136290,2168,7836,10484,11804,7704,-2000,0,0,39903,28664
2008:Q1,1590003,1590003,976979,390778,1044,10288,21876,52476,6572,24932,0,0,76394,28664
2008:Q2,-156707,-156707,-233229,56794,1048,1644,4520,10264,5136,-5036,0,0,-26512,28664
2008:Q3,124444,124444,-35739,109640,1044,4116,-2148,9828,5996,-28076,0,0,41040,18744
2008:Q4,1428167,1428167,854489,376216,1044,13120,26216,77016,8748,27940,0,0,24638,18740
2009:Q1,243161,243161,81348,77023,-1660,-2604,1636,11496,-8640,8528,0,0,57290,18744
2009:Q2,-489866,-489866,-379532,-69863,-1660,-5956,-16508,-28716,-11100,-26396,0,0,31125,18740
2009:Q3,-948773,-948773,-659469,-175890,-1660,-7364,-3296,-33972,-11216,4196,0,0,-55754,-4348
2009:Q4,-869899,-869899,-626959,-126986,-1664,-4616,4844,-35692,-10612,-17520,0,0,-46342,-4352
2010:Q1,-1039853,-1039853,-658281,-291132,3112,-1216,-17220,-29704,-10920,-7784,0,0,-22359,-4348
2010:Q2,-519940,-519940,-305737,-175969,3108,1600,-2832,-14604,-10648,-3076,0,0,-7430,-4352
2010:Q3,-171147,-171147,-74730,-93955,3112,5160,13152,-21528,-10792,-4860,0,0,23166,-9872
2010:Q4,-376584,-376584,-252883,-118659,3108,5740,-9468,-17156,-10968,17992,27612,-12920,887,-9868
2011:Q1,47324,47324,-15991,-16489,844,-1008,8304,-5868,15540,25432,57696,1264,-12527,-9872
2011:Q2,95326,95326,79026,-19944,848,8,-6536,-5184,16800,12224,18024,508,9424,-9872
2011:Q3,-440506,-440506,-275609,-83957,844,-544,-10328,5784,17856,-22864,-46260,712,-45201,19060
2011:Q4,-72444,-72444,-103738,-36850,848,3124,-14244,43392,16548,-25316,69800,540,-45608,19060
2012:Q1,-24672,-24672,-68794,-32959,3012,-5544,-8160,-22516,-17380,2340,84020,2544,19709,19056
2012:Q2,-71270,-71270,-19985,-32545,3016,-4144,4596,9776,-16532,-2648,-14112,-324,-17428,19060
2012:Q3,84557,84557,27387,-6530,3012,-1012,13232,-9540,-16608,7044,53772,2680,-14953,26072
2012:Q4,230193,230193,211792,28362,3016,1860,360,-3524,-16484,3444,-52448,3780,23968,26068
2013:Q1,-10575,-10575,-124961,15509,2024,-3512,-3336,-42708,12256,2028,110332,-3900,-378,26072
2013:Q2,151765,151765,33135,53929,2024,-964,-12752,-916,13060,-12028,37080,-7800,20929,26068
2013:Q3,206438,206438,-45779,72357,2024,1564,-652,8444,12940,10852,142104,-2216,12400,-7600
2013:Q4,-144868,-144868,-138407,-19475,2020,-332,7548,-12008,12344,22524,50496,-180,-61795,-7604
2014:Q1,81579,81579,167101,2900,2932,-4168,-9648,-3688,1388,-5616,-93460,80,31358,-7600
2014:Q2,-70356,-70356,-81111,-9863,2928,-3532,5180,-4076,1328,-8364,14660,-464,20562,-7604
2014:Q3,-17302,-17302,-31074,21682,2928,-792,1708,10064,1424,-8312,-19896,-756,-174,5896
2014:Q4,108831,108831,-68880,72718,2928,1688,-4824,15700,1140,10520,58248,-136,13837,5892
2015:Q1,8274,8274,43550,1165,2464,-2432,1712,-7432,-2596,-9324,-19376,124,-5477,5896
2015:Q2,43052,43052,73529,17979,2468,-1040,3908,-3728,-2044,16708,-58000,3084,-15703,5892
2015:Q3,19703,19703,118040,13323,2464,476,4276,45200,-1760,-14372,-90544,1416,-57488,-1328
2015:Q4,-50094,-50094,-47691,43574,2468,2232,3448,-22580,-2464,4656,-39368,-4312,11276,-1332
2016:Q1,238885,238885,92806,-39021,2592,5900,-13656,-2652,5068,-11680,25580,4920,170355,-1328
2016:Q2,-169738,-169738,-127640,-125183,2588,3916,-8140,-26052,4320,18236,-36140,22588,103101,-1332
2016:Q3,-321072,-321072,-289993,-147381,2592,5096,3420,-8328,4148,7700,39408,19116,70378,-27228
2016:Q4,-239995,-239995,-248937,-138472,2588,6692,-8996,-17984,4204,30172,83372,-3440,78038,-27232
2017:Q1,176871,176871,3381,57774,8696,-2652,2168,6780,-356,-10204,132152,10260,-3901,-27228
2017:Q2,65371,65371,56463,52755,9224,-1508,2144,3420,-144,-4764,-33816,2616,6213,-27232
2017:Q3,335302,335302,90769,99640,9228,2996,4748,7248,1684,7248,126408,140,-42215,27408
2017:Q4,83693,83693,140806,64615,9224,2388,6940,-2192,1100,-4256,-105260,6304,-63385,27408
2018:Q1,82708,82708,59860,-65825,4768,-4996,7164,-6996,-428,5432,46504,-3196,13016,27404
2018:Q2,286199,286199,272661,-34702,4768,-2508,22164,10472,-1032,-276,-19644,-18572,25459,27408
2018:Q3,-5290,-5290,-151552,-80170,4768,-2032,-15524,-16196,-804,-3316,169376,31188,51819,7152
2018:Q4,313000,313000,512394,-26412,4768,1176,-3152,39608,628,-11368,-267940,4308,51834,7156
2019:Q1,1071375,1071375,668042,93109,3548,3528,-1484,-11624,21092,10536,247924,4568,24985,7152
2019:Q2,650746,650746,-39801,118662,3544,5948,14056,18696,21592,-20800,452108,17416,52174,7152
2019:Q3,724554,724554,826729,135144,3544,9268,1600,21856,21980,1040,-335784,2916,28545,7716
2019:Q4,404441,404441,326626,86390,3548,8292,-4224,-13544,21256,17972,-48148,416,-1864,7720
2020:Q1,3196035,3196035,2038968,519703,20244,28780,-248,121004,31256,30876,5024,3584,389127,7716
2020:Q2,1613291,1613291,964450,227376,20244,18256,32324,-15336,24252,-6308,37168,24784,278365,7716
2020:Q3,-1167881,-1167881,-792792,-168512,20248,1380,-11236,-47844,23960,4224,-126572,-7128,-93593,29984
2020:Q4,-587629,-587629,-540254,-90144,20244,6268,18832,-26496,18996,-27960,42268,-3020,-36351,29988
2021:Q1,1155664,1155664,563098,191047,3024,16280,7656,-12012,7096,5984,105476,-9352,247383,29984
2021:Q2,304732,304732,46859,78218,1544,12188,-22960,24192,5580,-9700,-34972,7620,166179,29984
2021:Q3,-186695,-186695,-385087,3166,2264,11308,14048,-8528,8736,30204,59416,27804,24879,25096
2021:Q4,484439,484439,229322,128693,2600,21444,-11520,-12652,8368,-15688,-135040,-6896,250712,25096
2022:Q1,-157608,-157608,92871,-135210,2544,2556,-14656,3664,8604,-7160,128444,-15320,-249037,25092
2022:Q2,-79703,-79703,302808,-84608,9812,7060,6724,22968,14700,-15800,-150844,-23236,-194383,25096
2022:Q3,8163,8163,217767,-83046,6276,10336,22052,7684,16020,3200,5768,14924,-206131,-6688
2022:Q4,299573,299573,494630,9072,6564,19092,31564,6980,18864,4216,-145688,-22336,-116698,-6688
2023:Q1,2181531,2181531,1567065,318239,2816,17152,-13196,9240,10416,-3108,14680,19248,245670,-6692
2023:Q2,1043571,1043571,822213,137212,4608,3448,11496,40600,17964,-20664,464,-4668,37586,-6688
2023:Q3,706298,706298,642777,101862,1432,4176,-27836,-12920,13580,10112,-52664,16700,-16901,25980
2023:Q4,606560,606560,579137,69818,488,2264,38404,71160,7112,-3748,30220,-23072,-189935,24712
